"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","num_values_revealed","nudge_type","num_baskets","num_features","reaction_time","points_click_cost","points_action_utility","points_metalevel_reward","problem_id","trial_type","trial_index","time_elapsed","participant_id"
"1","mouselab","True","[15, 5, 13, 7, 22, 23, 24, 21]","[[6, 4, 6, 4, 5], [4, 6, 5, 6, 4], [2, 6, 5, 6, 2], [1, 7, 7, 5, 3], [7, 3, 3, 7, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 0, 2], [2, 0, 2, 2, 0], [2, 2, 2, 0, 0], [0, 2, 2, 2, 2]]","[4, 5, 1, 7, 13]",16,1,0,0.048,0.0453333333333333,0.00266666666666667,"[]",0,"random",5,5,48215,8,144,136,3229837419612500992,"attentional-mouselab",4,293912,0
"2","mouselab","True","[20, 6, 17, 24, 5, 7]","[[5, 5, 7, 8, 8], [4, 3, 5, 6, 6], [3, 1, 6, 4, 4], [5, 6, 8, 4, 6], [2, 8, 4, 5, 3]]","[[2, 2, 2, 2, 2], [2, 2, 2, 0, 0], [2, 2, 2, 2, 0], [2, 0, 2, 2, 0], [2, 0, 2, 2, 2]]","[3, 11, 8, 1, 7]",16,2,1,0.039,0.037,0.002,"[]",0,"random",5,5,26628,6,118,112,139118853272109728,"attentional-mouselab",5,324718,0
"3","mouselab","False","[22, 21, 20, 23, 9]","[[3, 2, 1, 4, 5], [2, 8, 8, 4, 5], [1, 4, 4, 9, 7], [6, 7, 5, 4, 4], [6, 3, 5, 4, 8]]","[[2, 2, 0, 2, 2], [2, 2, 0, 2, 2], [0, 2, 2, 0, 2], [2, 2, 2, 2, 0], [2, 2, 2, 2, 0]]","[4, 3, 8, 5, 10]",12,3,4,0.064,0.0623333333333333,0.00166666666666667,"[]",0,"extreme",5,5,13198,5,191,186,9191659770910776320,"attentional-mouselab",7,344136,0
"4","mouselab","False","[]","[[6, 5, 7, 2, 2], [1, 4, 5, 7, 5], [4, 3, 5, 4, 3], [5, 5, 5, 6, 6], [4, 4, 6, 5, 4]]","[[2, 2, 0, 0, 2], [2, 2, 0, 2, 2], [0, 2, 2, 2, 0], [2, 2, 2, 2, 2], [2, 2, 0, 2, 2]]","[10, 4, 4, 10, 2]",16,4,2,0.057,0.057,0,"[]",0,"greedy",5,5,5160,0,172,172,241088466219834464,"attentional-mouselab",8,351822,0
"5","mouselab","False","[16, 15, 17, 19, 18]","[[6, 3, 3, 2, 5], [5, 4, 8, 5, 5], [4, 5, 6, 3, 3], [6, 5, 5, 7, 6], [5, 6, 4, 6, 5]]","[[2, 2, 0, 0, 2], [2, 0, 0, 2, 2], [2, 0, 2, 0, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[5, 2, 1, 15, 7]",20,5,2,0.047,0.0453333333333333,0.00166666666666667,"[]",0,"extreme",5,5,23241,5,140,135,8253244738370435072,"attentional-mouselab",9,377188,0
"6","mouselab","False","[5, 5]","[[3, 6, 5, 5, 8], [4, 3, 3, 3, 3], [8, 4, 1, 4, 7], [7, 3, 6, 5, 3], [6, 2, 6, 6, 5]]","[[2, 0, 2, 2, 0], [2, 2, 0, 2, 2], [0, 2, 2, 0, 2], [0, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[4, 10, 7, 5, 4]",10,6,0,0.056,0.0553333333333333,0.000666666666666667,"[5]",1,"greedy",5,5,16177,2,167,165,5991279848637547520,"attentional-mouselab",10,395480,0
"7","mouselab","False","[8, 8, 5, 5]","[[6, 5, 5, 3, 7], [4, 5, 6, 2, 4], [9, 7, 4, 6, 5], [3, 7, 8, 3, 6], [7, 5, 5, 6, 8]]","[[0, 0, 2, 2, 2], [2, 0, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 0, 2, 2], [0, 0, 2, 2, 2]]","[2, 11, 2, 5, 10]",18,7,0,0.053,0.0516666666666667,0.00133333333333333,"[8, 5]",2,"random",5,5,12862,4,159,155,1.4609580098536e+19,"attentional-mouselab",11,410436,0
"8","mouselab","False","[10, 10]","[[5, 5, 5, 6, 5], [6, 4, 7, 7, 7], [6, 2, 3, 5, 7], [4, 5, 5, 6, 6], [3, 6, 5, 5, 3]]","[[2, 2, 0, 0, 0], [2, 2, 2, 0, 2], [2, 0, 2, 2, 2], [2, 2, 2, 0, 2], [2, 2, 2, 2, 2]]","[6, 3, 16, 3, 2]",20,8,0,0.054,0.0533333333333333,0.000666666666666667,"[10]",1,"greedy",5,5,11226,2,162,160,12077403417366220800,"attentional-mouselab",12,423533,0
"9","mouselab","False","[13, 13]","[[3, 3, 7, 5, 6], [3, 3, 6, 7, 5], [3, 6, 4, 4, 5], [5, 6, 6, 7, 2], [8, 7, 8, 7, 5]]","[[2, 2, 0, 2, 2], [2, 2, 2, 0, 2], [0, 2, 2, 2, 0], [2, 2, 2, 0, 2], [2, 2, 0, 2, 2]]","[3, 7, 10, 7, 3]",12,9,3,0.058,0.0573333333333333,0.000666666666666667,"[13]",1,"greedy",5,5,6943,2,174,172,6717592688505549824,"attentional-mouselab",13,432549,0
"10","mouselab","False","[0, 0, 2, 2]","[[5, 5, 3, 6, 5], [5, 6, 4, 5, 6], [4, 6, 6, 7, 5], [5, 4, 5, 3, 5], [4, 6, 3, 3, 4]]","[[2, 2, 2, 0, 2], [2, 2, 2, 0, 2], [2, 2, 0, 0, 0], [2, 2, 2, 2, 2], [0, 2, 2, 2, 2]]","[10, 7, 4, 3, 6]",10,10,3,0.05,0.0486666666666667,0.00133333333333333,"[0, 2]",2,"random",5,5,14552,4,150,146,7254012641397054464,"attentional-mouselab",14,448658,0
