"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","experiment_type","trial_nudge","nudge_index","chose_nudge","og_baskets","shown_baskets","num_features","cost","reaction_time","naive","trial_type","trial_index","time_elapsed","nudge_type","participant_id"
"1","mouselab","True","[0, 0, 1, 1]","[[5, 6, 2, 5, 8], [5, 6, 5, 3, 7]]","[[0, 0, 2, 2, 2], [2, 2, 2, 2, 2]]","[4, 26]",22,1,2,0.046,0.0446666666666667,0.00133333333333333,"[0, 1]","supersize","control",-1,"False",5,5,2,2,18953,"True","implicit-mouselab",4,98999,"supersize",0
"2","mouselab","True","[6, 6, 14, 14, 2, 2, 21, 21, 19, 19, 16, 16]","[[4, 7, 6, 8, 4], [8, 5, 5, 3, 3], [8, 3, 8, 4, 8], [3, 8, 6, 3, 5], [5, 6, 6, 6, 2]]","[[2, 2, 0, 2, 2], [0, 2, 2, 2, 2], [2, 2, 0, 2, 0], [2, 0, 2, 0, 2], [2, 2, 2, 2, 2]]","[2, 10, 11, 4, 3]",18,2,1,0.049,0.045,0.004,"[6, 14, 2, 21, 19, 16]","supersize","control",-1,"False",5,5,5,2,24543,"True","implicit-mouselab",5,127003,"supersize",0
"3","mouselab","False","[]","[[3, 5, 5, 5, 7, 5], [5, 6, 6, 6, 2, 6]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[25, 5]",20,3,1,0.052,0.052,0,"[]","supersize","post-supersize",5,"False",5,6,2,2,17400,"True","implicit-mouselab",7,153503,"supersize",0
"4","mouselab","False","[]","[[6, 7, 7, 5, 3], [4, 6, 4, 1, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[23, 7]",16,4,3,0.041,0.041,0,"[]","supersize","control",-1,"False",5,5,2,2,3344,"True","implicit-mouselab",8,159006,"supersize",0
"5","mouselab","False","[0, 0, 1, 1, 4, 4, 5, 5, 3, 3]","[[5, 4, 6, 2, 6, 7], [5, 3, 3, 6, 7, 7], [4, 2, 6, 6, 6, 6], [7, 3, 4, 3, 3, 7], [8, 9, 5, 5, 3, 6]]","[[0, 0, 2, 0, 0, 0], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[10, 3, 9, 3, 5]",14,5,5,0.065,0.0616666666666667,0.00333333333333333,"[0, 1, 4, 5, 3]","supersize","pre-supersize",2,"False",5,6,5,2,18475,"True","implicit-mouselab",9,183340,"supersize",0
"6","mouselab","False","[12, 12, 13, 13, 14, 14, 15, 15, 16, 16]","[[4, 6, 6, 8, 4], [6, 5, 7, 5, 6], [5, 4, 4, 5, 6], [5, 4, 5, 3, 0], [5, 4, 3, 5, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 0, 0, 0, 0], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[11, 1, 12, 4, 2]",22,6,4,0.044,0.0406666666666667,0.00333333333333333,"[12, 13, 14, 15, 16]","supersize","control",-1,"False",5,5,5,2,6761,"True","implicit-mouselab",10,193503,"supersize",0
"7","mouselab","False","[18, 18, 19, 19, 20, 20, 21, 21, 22, 22]","[[3, 7, 5, 5, 8], [7, 6, 4, 7, 1], [3, 4, 4, 6, 3], [5, 5, 1, 1, 6], [4, 5, 5, 9, 7]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [0, 0, 0, 0, 0], [2, 2, 2, 2, 2]]","[9, 6, 1, 11, 3]",16,7,4,0.056,0.0526666666666667,0.00333333333333333,"[18, 19, 20, 21, 22]","supersize","control",-1,"False",5,5,5,2,6207,"True","implicit-mouselab",11,201052,"supersize",0
"8","mouselab","False","[0, 0, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5]","[[7, 2, 4, 7, 4, 5], [4, 4, 5, 7, 8, 6]]","[[0, 0, 0, 0, 0, 0], [2, 2, 2, 2, 2, 2]]","[27, 3]",24,8,3,0.07,0.066,0.004,"[0, 1, 2, 3, 4, 5]","supersize","pre-supersize",1,"False",5,6,2,2,11281,"True","implicit-mouselab",12,213671,"supersize",0
"9","mouselab","False","[6, 6, 7, 7, 8, 8, 9, 9, 10, 10]","[[7, 7, 4, 3, 6, 5], [5, 4, 4, 6, 4, 6], [4, 6, 5, 4, 10, 5], [8, 5, 6, 8, 8, 3], [2, 3, 3, 5, 3, 2]]","[[2, 2, 2, 2, 2, 2], [0, 0, 0, 0, 0, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2]]","[7, 9, 7, 6, 1]",10,9,5,0.048,0.0446666666666667,0.00333333333333333,"[6, 7, 8, 9, 10]","supersize","post-supersize",5,"True",5,6,5,2,9170,"True","implicit-mouselab",13,225135,"supersize",0
"10","mouselab","False","[0, 0, 1, 1, 2, 2, 3, 3, 4, 4]","[[7, 2, 5, 5, 3], [4, 1, 4, 5, 7]]","[[0, 0, 0, 0, 0], [2, 2, 2, 2, 2]]","[27, 3]",24,10,0,0.067,0.0636666666666667,0.00333333333333333,"[0, 1, 2, 3, 4]","supersize","control",-1,"False",5,5,2,2,5362,"True","implicit-mouselab",14,236372,"supersize",0
