type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,experiment_type,trial_nudge,nudge_index,accepted_default,chose_nudge,og_baskets,actual_baskets,num_features,cost,reaction_time,trial_type,trial_index,time_elapsed,nudge_type,participant_id
mouselab,True,"[0, 3, 0, 3]","[[10, 8], [3, 4]]","[[0, 2], [2, 0]]","[29, 1]",28,1,0,0.098,0.09666666666666666,0.0013333333333333333,"[0, 3]",default,control,0,False,True,2,2,2,2,29761,implicit-mouselab,4,424634,default,0
mouselab,True,[],"[[2, 8, 5, 5, 4], [6, 5, 6, 2, 2], [4, 5, 5, 4, 5], [4, 4, 6, 2, 7], [1, 8, 4, 3, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[1, 6, 13, 8, 2]",18,2,4,0.048,0.048,0.0,[],default,control,1,False,False,5,5,5,2,17326,implicit-mouselab,5,448329,default,0
mouselab,False,[],"[[2, 5], [5, 7]]","[[2, 2], [2, 2]]","[16, 14]",2,3,1,0.059,0.059,0.0,[],default,default,1,True,True,2,2,2,2,11962,implicit-mouselab,7,468860,default,0
mouselab,False,[],"[[7, 4, 5, 5, 4], [7, 5, 6, 7, 2]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[20, 10]",10,4,0,0.07,0.07,0.0,[],default,default,0,True,True,5,5,2,2,7673,implicit-mouselab,8,479592,default,0
mouselab,False,[],"[[7, 3, 3, 4, 7], [4, 7, 4, 4, 6], [3, 5, 8, 5, 5], [6, 5, 7, 7, 5], [3, 4, 2, 5, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[8, 4, 1, 3, 14]",20,5,2,0.032,0.032,0.0,[],default,control,4,False,False,5,5,5,2,8486,implicit-mouselab,9,491912,default,0
mouselab,False,[],"[[4, 5, 4, 5, 7], [7, 3, 3, 0, 4], [3, 6, 7, 3, 6], [5, 6, 8, 6, 5], [5, 4, 4, 4, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[1, 14, 6, 6, 3]",16,6,4,0.049,0.049,0.0,[],default,default,4,True,True,5,5,5,2,3757,implicit-mouselab,10,498073,default,0
mouselab,False,"[0, 0, 9, 9, 2, 2]","[[7, 6, 5, 7, 6], [9, 4, 6, 3, 4]]","[[0, 2, 0, 2, 2], [2, 2, 2, 2, 0]]","[12, 18]",6,7,0,0.082,0.08,0.002,"[0, 9, 2]",default,control,0,False,True,5,5,2,2,15627,implicit-mouselab,11,516964,default,0
mouselab,False,[],"[[6, 8, 5, 5, 4], [5, 6, 9, 6, 7], [6, 6, 2, 5, 4], [6, 5, 6, 5, 2], [6, 5, 3, 5, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[7, 2, 6, 9, 6]",8,8,0,0.059,0.059,0.0,[],default,control,1,False,False,5,5,5,2,3352,implicit-mouselab,12,522100,default,0
mouselab,False,[],"[[5, 2, 6, 5, 8], [5, 5, 4, 4, 6], [7, 2, 5, 2, 5], [3, 5, 7, 8, 4], [5, 3, 6, 8, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[4, 5, 10, 2, 9]",14,9,2,0.054,0.054,0.0,[],default,default,2,True,True,5,5,5,2,2702,implicit-mouselab,13,526938,default,0
mouselab,False,"[6, 6, 1, 1, 5, 5, 2, 2]","[[6, 6], [5, 4], [4, 6], [4, 5], [2, 3]]","[[2, 0], [0, 2], [2, 0], [0, 2], [2, 2]]","[3, 8, 2, 12, 5]",16,10,1,0.046,0.043333333333333335,0.0026666666666666666,"[6, 1, 5, 2]",default,control,1,False,True,2,2,5,2,42483,implicit-mouselab,14,572419,default,0
mouselab,False,[],"[[4, 3], [6, 5]]","[[2, 2], [2, 2]]","[8, 22]",14,11,0,0.055,0.055,0.0,[],default,control,0,False,True,2,2,2,2,5231,implicit-mouselab,15,579513,default,0
mouselab,False,[],"[[6, 6, 3, 5, 7], [4, 5, 4, 3, 3], [2, 4, 7, 4, 4], [6, 7, 2, 8, 6], [6, 2, 5, 8, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[19, 1, 1, 7, 2]",28,12,2,0.031,0.031,0.0,[],default,control,3,False,False,5,5,5,2,2029,implicit-mouselab,16,584568,default,0
mouselab,False,[],"[[4, 6, 5, 5, 7], [7, 5, 7, 3, 3]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[26, 4]",22,13,4,0.065,0.065,0.0,[],default,control,2,False,False,5,5,2,2,1891,implicit-mouselab,17,588541,default,0
mouselab,False,[],"[[6, 4], [6, 6], [8, 7], [6, 6], [5, 7]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[7, 3, 10, 8, 2]",14,14,0,0.066,0.066,0.0,[],default,default,0,True,True,2,2,5,2,1784,implicit-mouselab,18,592508,default,0
mouselab,False,[],"[[5, 4], [8, 8], [5, 4], [6, 5], [6, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[2, 2, 15, 4, 7]",20,15,0,0.056,0.056,0.0,[],default,default,0,True,True,2,2,5,2,4524,implicit-mouselab,19,599838,default,0
mouselab,False,[],"[[7, 3], [1, 5], [2, 3], [5, 6], [5, 5]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[1, 11, 2, 9, 7]",18,16,1,0.051,0.051,0.0,[],default,control,1,False,True,2,2,5,2,3520,implicit-mouselab,20,605382,default,0
mouselab,False,[],"[[7, 9], [4, 4]]","[[2, 2], [2, 2]]","[21, 9]",12,17,0,0.061,0.061,0.0,[],default,control,1,False,False,2,2,2,2,3167,implicit-mouselab,21,611234,default,0
mouselab,False,[],"[[5, 7], [6, 5]]","[[2, 2], [2, 2]]","[16, 14]",2,18,1,0.061,0.061,0.0,[],default,control,1,False,True,2,2,2,2,2054,implicit-mouselab,22,615447,default,0
mouselab,False,[],"[[2, 4], [6, 2], [7, 6], [8, 8], [3, 8]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[20, 2, 3, 4, 1]",28,19,0,0.036,0.036,0.0,[],default,default,1,False,False,2,2,5,2,3705,implicit-mouselab,23,622609,default,0
mouselab,False,[],"[[6, 7, 6, 8, 4], [5, 8, 7, 7, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[28, 2]",26,20,1,0.071,0.071,0.0,[],default,default,1,True,True,5,5,2,2,1575,implicit-mouselab,24,625757,default,0
mouselab,False,[],"[[4, 5, 5, 5, 3], [5, 5, 6, 4, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[3, 27]",24,21,2,0.059,0.059,0.0,[],default,default,2,True,True,5,5,2,2,2476,implicit-mouselab,25,630459,default,0
mouselab,False,[],"[[3, 6, 6, 8, 7], [5, 4, 10, 4, 6], [4, 5, 5, 5, 3], [4, 4, 6, 6, 5], [5, 6, 4, 6, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[3, 3, 15, 8, 1]",22,22,2,0.058,0.058,0.0,[],default,control,2,False,True,5,5,5,2,2673,implicit-mouselab,26,636060,default,0
mouselab,False,[],"[[5, 8], [4, 8], [5, 8], [8, 1], [3, 3]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[5, 2, 7, 9, 7]",10,23,0,0.054,0.054,0.0,[],default,control,1,False,False,2,2,5,2,2895,implicit-mouselab,27,641147,default,0
mouselab,False,[],"[[6, 6], [3, 5]]","[[2, 2], [2, 2]]","[24, 6]",18,24,1,0.058,0.058,0.0,[],default,default,1,True,True,2,2,2,2,2288,implicit-mouselab,28,644856,default,0
mouselab,False,[],"[[5, 6], [7, 5], [5, 4], [9, 5], [3, 8]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[1, 2, 8, 12, 7]",18,25,0,0.063,0.063,0.0,[],default,default,0,True,True,2,2,5,2,1415,implicit-mouselab,29,648264,default,0
mouselab,False,[],"[[7, 9], [5, 8]]","[[2, 2], [2, 2]]","[6, 24]",18,26,1,0.082,0.082,0.0,[],default,default,1,True,True,2,2,2,2,3434,implicit-mouselab,30,654327,default,0
mouselab,False,[],"[[3, 4, 2, 5, 4], [1, 7, 7, 6, 4]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[8, 22]",14,27,1,0.062,0.062,0.0,[],default,control,1,False,True,5,5,2,2,1878,implicit-mouselab,31,657747,default,0
mouselab,False,[],"[[5, 5, 5, 3, 7], [3, 4, 6, 8, 5], [4, 8, 2, 6, 5], [3, 7, 6, 6, 3], [6, 5, 7, 4, 5]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[1, 9, 15, 2, 3]",24,28,1,0.063,0.063,0.0,[],default,default,1,True,True,5,5,5,2,2198,implicit-mouselab,32,662587,default,0
mouselab,False,[],"[[8, 6, 5, 4, 6], [5, 9, 4, 6, 6]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[12, 18]",6,29,3,0.052,0.052,0.0,[],default,control,1,False,False,5,5,2,2,1940,implicit-mouselab,33,665911,default,0
mouselab,False,[],"[[3, 8], [7, 5]]","[[2, 2], [2, 2]]","[7, 23]",16,30,1,0.057,0.057,0.0,[],default,default,1,True,True,2,2,2,2,2015,implicit-mouselab,34,669291,default,0
mouselab,False,[],"[[2, 6, 6, 5, 4], [7, 5, 3, 4, 9]]","[[2, 2, 2, 2, 2], [2, 2, 2, 2, 2]]","[18, 12]",6,31,4,0.06,0.06,0.0,[],default,default,4,True,True,5,5,2,2,3042,implicit-mouselab,35,674395,default,0
mouselab,False,[],"[[4, 4], [5, 6]]","[[2, 2], [2, 2]]","[14, 16]",2,32,1,0.051,0.051,0.0,[],default,control,1,False,True,2,2,2,2,1542,implicit-mouselab,36,677767,default,0
