type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,experiment_type,trial_nudge,nudge_index,accepted_default,chose_nudge,og_baskets,actual_baskets,num_features,cost,reaction_time,trial_type,trial_index,time_elapsed,nudge_type,participant_id
mouselab,True,"[1, 5, 3, 2, 0, 7, 9, 4, 8, 6]","[[6, 7, 3, 7, 2], [6, 5, 4, 2, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[3, 17]",19.799999999999997,1,0,0.12,0.11,0.01,[],supersize,control,4,False,False,5,5,2,4,26813,implicit-mouselab,4,295209,supersize,0
mouselab,True,"[2, 3, 5, 4, 6, 7, 9, 8, 0, 1]","[[6, 4], [6, 5], [5, 6], [4, 1], [6, 6]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]","[1, 4, 5, 3, 7]",18.75,2,1,0.099,0.08900000000000001,0.01,"[2, 3, 5, 4, 6, 7, 9, 8, 0, 1]",supersize,control,1,False,True,2,2,5,1,18165,implicit-mouselab,5,316198,supersize,0
mouselab,False,"[0, 7, 6, 3, 2, 1, 9, 4, 8, 5]","[[2, 3, 8, 5, 6], [6, 6, 6, 4, 6]]","[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]","[11, 9]",19.8,5,0,0.076,0.066,0.01,"[0, 7, 6, 3, 2, 1, 9, 4, 8, 5]",supersize,control,3,False,False,5,5,2,1,23494,implicit-mouselab,7,344182,supersize,0
mouselab,False,[],"[[0, 4, 5, 5, 4], [5, 4, 4, 4, 4], [4, 7, 3, 4, 4], [5, 6, 6, 4, 4], [4, 7, 6, 6, 3]]","[[4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4]]","[4, 7, 3, 4, 2]",18.75,6,2,0.093,0.093,0.0,[],supersize,control,4,False,False,5,5,5,4,1508,implicit-mouselab,8,347313,supersize,0
mouselab,False,[],"[[3, 4], [7, 3]]","[[4, 4], [4, 4]]","[4, 16]",19.8,7,0,0.124,0.124,0.0,[],supersize,control,1,False,False,2,2,2,4,1460,implicit-mouselab,9,350305,supersize,0
mouselab,False,[],"[[8, 5, 6], [10, 7, 9], [6, 7, 7], [6, 8, 8], [6, 5, 4]]","[[4, 4, 4], [4, 4, 4], [4, 4, 4], [4, 4, 4], [4, 4, 4]]","[1, 1, 9, 7, 2]",18.75,8,2,0.142,0.142,0.0,[],supersize,pre-supersize,0,False,False,2,3,5,4,1738,implicit-mouselab,10,354227,supersize,0
mouselab,False,[],"[[5, 3, 10], [5, 4, 4], [4, 4, 7], [1, 6, 3], [6, 9, 6]]","[[4, 4, 4], [4, 4, 4], [4, 4, 4], [4, 4, 4], [4, 4, 4]]","[5, 2, 3, 2, 8]",18.75,9,0,0.097,0.097,0.0,[],supersize,post-supersize,2,False,False,2,3,5,4,7752,implicit-mouselab,11,367004,supersize,0
mouselab,False,[],"[[3, 5], [6, 4]]","[[1, 1], [1, 1]]","[9, 11]",19.8,10,0,0.093,0.093,0.0,[],supersize,control,1,False,False,2,2,2,1,1576,implicit-mouselab,12,371307,supersize,0
mouselab,False,[],"[[5, 6, 7], [2, 3, 6], [8, 5, 3], [2, 5, 5], [3, 5, 5]]","[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]","[1, 2, 3, 9, 5]",18.75,11,1,0.097,0.097,0.0,[],supersize,post-supersize,2,False,False,2,3,5,1,2927,implicit-mouselab,13,376138,supersize,0
mouselab,False,[],"[[5, 4, 1], [6, 6, 4]]","[[1, 1, 1], [1, 1, 1]]","[11, 9]",19.8,12,1,0.098,0.098,0.0,[],supersize,pre-supersize,0,False,False,2,3,2,1,1450,implicit-mouselab,14,381926,supersize,0
mouselab,False,[],"[[9, 6, 5, 4, 3], [5, 5, 6, 5, 5], [7, 5, 2, 7, 3], [7, 6, 4, 2, 5], [2, 6, 7, 6, 4]]","[[4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4]]","[1, 3, 10, 5, 1]",18.75,13,0,0.131,0.131,0.0,[],supersize,control,0,False,True,5,5,5,4,1354,implicit-mouselab,15,386379,supersize,0
mouselab,False,[],"[[4, 7, 6, 3, 7], [6, 7, 7, 7, 6]]","[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]","[9, 11]",19.8,14,1,0.14,0.14,0.0,[],supersize,control,2,False,False,5,5,2,1,1526,implicit-mouselab,16,389776,supersize,0
mouselab,False,[],"[[5, 7], [4, 4]]","[[1, 1], [1, 1]]","[17, 3]",19.799999999999997,15,0,0.097,0.097,0.0,[],supersize,control,1,False,False,2,2,2,1,1592,implicit-mouselab,17,392727,supersize,0
mouselab,False,[],"[[5, 3, 4, 5, 5, 6], [3, 3, 9, 4, 5, 8]]","[[1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1]]","[16, 4]",19.8,16,3,0.096,0.096,0.0,[],supersize,pre-supersize,1,False,False,5,6,2,1,1509,implicit-mouselab,18,400085,supersize,0
mouselab,False,[],"[[3, 7], [4, 7], [6, 5], [2, 3], [6, 5]]","[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[5, 5, 6, 2, 2]",18.75,17,0,0.087,0.087,0.0,[],supersize,control,0,False,True,2,2,5,1,1772,implicit-mouselab,19,405019,supersize,0
mouselab,False,[],"[[5, 5, 8, 2, 6, 9], [2, 3, 6, 2, 2, 4]]","[[4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]","[16, 4]",19.8,18,5,0.16,0.16,0.0,[],supersize,post-supersize,5,False,True,5,6,2,4,8875,implicit-mouselab,20,417260,supersize,0
mouselab,False,[],"[[7, 7, 4, 7, 5, 3], [4, 4, 6, 6, 6, 8], [5, 4, 3, 6, 5, 5], [4, 8, 4, 9, 5, 4], [4, 6, 4, 5, 6, 4]]","[[4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]","[9, 5, 4, 1, 1]",18.75,19,5,0.095,0.095,0.0,[],supersize,pre-supersize,2,False,False,5,6,5,4,3085,implicit-mouselab,21,423248,supersize,0
mouselab,False,[],"[[4, 5, 5, 6, 5, 7], [6, 6, 5, 6, 4, 6], [4, 6, 6, 4, 6, 4], [3, 5, 4, 6, 7, 3], [5, 5, 5, 3, 4, 6]]","[[1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1]]","[2, 5, 1, 6, 6]",18.75,20,5,0.102,0.102,0.0,[],supersize,post-supersize,5,False,True,5,6,5,1,4273,implicit-mouselab,22,430170,supersize,0
mouselab,False,[],"[[1, 4, 4], [8, 5, 7], [4, 6, 5], [1, 4, 5], [5, 6, 1]]","[[4, 4, 4], [4, 4, 4], [4, 4, 4], [4, 4, 4], [4, 4, 4]]","[3, 2, 4, 10, 1]",18.75,21,2,0.097,0.097,0.0,[],supersize,pre-supersize,2,False,True,2,3,5,4,2139,implicit-mouselab,23,433987,supersize,0
mouselab,False,[],"[[6, 8, 6, 7, 5, 3], [3, 4, 7, 5, 5, 2]]","[[1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1]]","[5, 15]",19.8,22,1,0.1,0.1,0.0,[],supersize,post-supersize,5,False,False,5,6,2,1,2341,implicit-mouselab,24,437987,supersize,0
mouselab,False,[],"[[6, 5, 7, 6, 6], [2, 5, 5, 4, 3], [6, 4, 5, 7, 0], [6, 5, 8, 6, 2], [5, 4, 6, 5, 3]]","[[4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4]]","[3, 10, 2, 4, 1]",18.75,23,1,0.097,0.097,0.0,[],supersize,control,2,False,False,5,5,5,4,1382,implicit-mouselab,25,444222,supersize,0
mouselab,False,[],"[[4, 5], [3, 2]]","[[4, 4], [4, 4]]","[6, 14]",19.8,24,0,0.066,0.066,0.0,[],supersize,control,1,False,False,2,2,2,4,1489,implicit-mouselab,26,447878,supersize,0
mouselab,True,"[5, 6, 7, 8, 9, 1]","[[5, 9, 6, 8, 6], [5, 7, 6, 3, 6]]","[[1, 0, 1, 1, 1], [0, 0, 0, 0, 0]]","[6, 14]",19.8,1,1,0.152,0.146,0.006,"[5, 6, 7, 8, 9, 1]",supersize,control,3,False,False,5,5,2,1,13245,implicit-mouselab,4,337100,supersize,4
mouselab,True,"[2, 3, 2, 2, 2, 3, 3, 3, 6, 6, 6, 6, 4, 4, 4, 4]","[[8, 5], [5, 4], [3, 5], [4, 4], [6, 6]]","[[4, 4], [0, 0], [0, 4], [0, 4], [4, 4]]","[2, 8, 4, 4, 2]",18.75,2,1,0.09,0.074,0.016,"[2, 3, 6, 4]",supersize,control,1,False,True,2,2,5,4,20298,implicit-mouselab,5,364348,supersize,4
mouselab,False,"[5, 6, 7, 8, 9, 20, 21]","[[6, 8, 9, 6, 3], [4, 4, 4, 3, 1], [5, 3, 6, 5, 6], [4, 4, 5, 4, 3], [4, 7, 3, 5, 6]]","[[1, 1, 1, 1, 1], [0, 0, 0, 0, 0], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [0, 0, 1, 1, 1]]","[1, 12, 1, 2, 4]",18.75,5,1,0.095,0.088,0.007,"[5, 6, 7, 8, 9, 20, 21]",supersize,control,4,False,False,5,5,5,1,10392,implicit-mouselab,7,380764,supersize,4
