type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_variance,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,trial_nudge,nudge_index,accepted_default,accepted_supersize,chose_default,chose_supersize,num_baskets,num_features,cost,trial_type,trial_index,time_elapsed,internal_node_id,prolific_pid,study_id,session_id,nudge_type,participant_id
mouselab,True,"[0, 3, 1, 2, 0, 2, 3, 1]","[[5, 6], [6, 3]]","[[0, 0], [0, 0]]","[6, 4]",1.0,1,1,0.048,0.04,0.008,"[0, 2, 3, 1]",control,-1,False,False,False,False,2,2,2,implicit-mouselab,4,95117,0.0-3.0-1.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,True,[],"[[3, 6, 5, 4, 4, 4, 6], [8, 4, 6, 5, 9, 3, 6], [7, 7, 6, 2, 7, 5, 6], [3, 9, 5, 5, 7, 5, 10], [6, 5, 9, 6, 5, 4, 5]]","[[3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3]]","[1, 3, 1, 1, 4]",1.6,2,3,0.05,0.05,0.0,[],control,-1,False,False,False,False,7,5,3,implicit-mouselab,5,103217,0.0-3.0-2.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[4, 9], [5, 4], [4, 4], [5, 6], [8, 3]]","[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]","[2, 1, 1, 2, 4]",1.2,5,0,0.059,0.059,0.0,[],default,0,True,False,True,False,2,5,1,implicit-mouselab,7,113299,0.0-3.0-4.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[4, 6], [5, 8]]","[[4, 4], [4, 4]]","[4, 6]",1.0,6,1,0.072,0.072,0.0,[],control,-1,False,False,False,False,2,2,4,implicit-mouselab,8,118953,0.0-3.0-5.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[7, 5], [5, 5]]","[[3, 3], [3, 3]]","[6, 4]",1.0,7,0,0.062,0.062,0.0,[],control,-1,False,False,False,False,2,2,3,implicit-mouselab,9,126191,0.0-3.0-6.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[4, 3], [8, 5]]","[[2, 2], [2, 2]]","[9, 1]",16.0,8,0,0.044,0.044,0.0,[],default,0,True,False,True,False,2,2,2,implicit-mouselab,10,145409,0.0-3.0-7.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[3],"[[6, 4, 4, 5, 6, 7, 7], [6, 3, 7, 6, 4, 6, 6]]","[[1, 1, 1, 0, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]","[4, 6]",1.0,9,3,0.056,0.055,0.001,[3],default,6,False,False,False,False,7,2,1,implicit-mouselab,11,164555,0.0-3.0-8.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[4, 2], [3, 9], [5, 4], [4, 9], [4, 6]]","[[3, 3], [3, 3], [3, 3], [3, 3], [3, 3]]","[1, 6, 1, 1, 1]",4.0,10,0,0.035,0.035,0.0,[],default,0,True,False,True,False,2,5,3,implicit-mouselab,12,168566,0.0-3.0-9.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[4, 3], [8, 6]]","[[4, 4], [4, 4]]","[1, 9]",16.0,11,1,0.057,0.057,0.0,[],default,1,True,False,True,False,2,2,4,implicit-mouselab,13,172830,0.0-3.0-10.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[5, 4], [4, 6]]","[[2, 2], [2, 2]]","[3, 7]",4.0,12,1,0.054,0.054,0.0,[],default,1,False,False,True,False,2,2,2,implicit-mouselab,14,180962,0.0-3.0-11.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[16],"[[4, 7, 6, 2, 3, 3, 3], [5, 5, 5, 5, 8, 3, 0], [5, 4, 3, 4, 3, 5, 4], [6, 3, 9, 4, 6, 7, 7], [5, 3, 7, 6, 4, 7, 5]]","[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]","[2, 1, 2, 1, 4]",1.2,13,6,0.041,0.04,0.001,[16],control,-1,False,False,False,False,7,5,1,implicit-mouselab,15,190810,0.0-3.0-12.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[5, 6, 6, 7, 5, 4, 6], [5, 2, 5, 6, 8, 5, 6]]","[[4, 4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4, 4]]","[4, 6]",1.0,14,2,0.054,0.054,0.0,[],control,-1,False,False,False,False,7,2,4,implicit-mouselab,16,215856,0.0-3.0-13.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[4, 6], [5, 6]]","[[4, 4], [4, 4]]","[5, 5]",0.0,15,0,0.045,0.045,0.0,[],default,0,True,False,True,False,2,2,4,implicit-mouselab,17,223843,0.0-3.0-14.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[5, 4, 3, 3, 2, 5, 8], [4, 6, 7, 4, 5, 4, 7], [6, 2, 8, 6, 4, 8, 5], [4, 5, 4, 5, 5, 8, 2], [2, 7, 6, 5, 4, 4, 4]]","[[2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2]]","[3, 1, 2, 2, 2]",0.4,16,0,0.043,0.043,0.0,[],default,0,True,False,True,False,7,5,2,implicit-mouselab,18,227262,0.0-3.0-15.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[3, 8], [5, 7], [5, 4], [7, 2], [3, 3]]","[[3, 3], [3, 3], [3, 3], [3, 3], [3, 3]]","[1, 4, 1, 2, 2]",1.2,17,1,0.05,0.05,0.0,[],default,0,False,False,False,False,2,5,3,implicit-mouselab,19,231674,0.0-3.0-16.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[3, 5, 5, 4, 6, 6, 6], [5, 5, 4, 3, 1, 1, 6], [5, 5, 4, 2, 6, 6, 4], [4, 3, 4, 5, 4, 3, 1], [6, 8, 6, 4, 5, 5, 5]]","[[1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1]]","[2, 2, 2, 2, 2]",0.0,18,4,0.044,0.044,0.0,[],control,-1,False,False,False,False,7,5,1,implicit-mouselab,20,233941,0.0-3.0-17.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[8, 7, 5, 5, 5, 5, 4], [3, 2, 4, 4, 5, 3, 2]]","[[2, 2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2, 2]]","[9, 1]",16.0,19,3,0.049,0.049,0.0,[],control,-1,False,False,False,False,7,2,2,implicit-mouselab,21,235448,0.0-3.0-18.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[4, 6], [4, 3], [3, 5], [5, 7], [8, 8]]","[[3, 3], [3, 3], [3, 3], [3, 3], [3, 3]]","[1, 5, 1, 2, 1]",2.4,20,1,0.048,0.048,0.0,[],control,-1,False,False,False,False,2,5,3,implicit-mouselab,22,237131,0.0-3.0-19.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
mouselab,False,[],"[[7, 4, 6, 3, 6, 6, 5], [8, 6, 4, 5, 7, 5, 2]]","[[3, 3, 3, 3, 3, 3, 3], [3, 3, 3, 3, 3, 3, 3]]","[8, 2]",9.0,21,0,0.072,0.072,0.0,[],default,0,True,False,True,False,7,2,3,implicit-mouselab,23,245631,0.0-3.0-20.0,5f625b37b063532a77bea980,5faed821735c4c09a01dbe66,5faed911db8c0a09a2870c8e,default,1
