"","type","is_practice","click_values","payoff_matrix","cost_matrix","weights","weights_deviation","trial_num","selected_option","gross_earnings","net_earnings","click_cost","uncovered_values","experiment_type","trial_nudge","nudge_index","chose_nudge","og_baskets","shown_baskets","num_features","cost","reaction_time","naive","trial_type","trial_index","time_elapsed","nudge_type","participant_id"
"1","mouselab","True","[7, 27, 12, 10, 20]","[[7, 6, 3, 3, 4], [6, 4, 3, 5, 8], [7, 4, 4, 6, 4], [5, 5, 2, 6, 6], [0, 4, 5, 8, 3]]","[[1, 1, 1, 1, 1], [1, 0, 1, 1, 0], [0, 1, 1, 1, 1], [1, 1, 0, 1, 1], [1, 1, 1, 0, 1]]","[4, 11, 4, 4, 7]",12,1,4,0.055,0.0533333333333333,0.00166666666666667,"[7, 27, 12, 10, 20]","supersize","control",-1,"False",5,5,5,1,10425,"True","implicit-mouselab",4,98189,"supersize",0
"2","mouselab","True","[]","[[5, 7, 4, 5, 6], [2, 6, 5, 4, 5], [5, 6, 4, 8, 6], [2, 2, 4, 6, 4], [5, 5, 2, 6, 7]]","[[4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4]]","[5, 3, 14, 4, 4]",16,2,2,0.038,0.038,0,"[]","supersize","control",-1,"False",5,5,5,4,2104,"True","implicit-mouselab",5,102100,"supersize",0
"3","mouselab","False","[]","[[5, 5, 5, 6, 8], [4, 7, 3, 7, 3], [7, 7, 5, 4, 4], [6, 7, 3, 7, 1], [6, 4, 5, 6, 10]]","[[4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4]]","[6, 3, 1, 11, 9]",16,3,1,0.057,0.057,0,"[]","supersize","control",-1,"False",5,5,5,4,927,"True","implicit-mouselab",7,105125,"supersize",0
"4","mouselab","False","[]","[[5, 6, 7, 5, 5, 3], [5, 7, 7, 6, 7, 6], [6, 8, 5, 4, 4, 6], [4, 6, 5, 7, 0, 8], [6, 4, 4, 5, 7, 5]]","[[4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]","[2, 6, 9, 4, 9]",12,4,3,0.052,0.052,0,"[]","supersize","pre-supersize",4,"False",5,6,5,4,976,"True","implicit-mouselab",8,107349,"supersize",0
"5","mouselab","False","[]","[[5, 4, 7, 4, 5, 2], [4, 3, 6, 7, 5, 5], [4, 4, 4, 5, 3, 4], [4, 6, 4, 6, 6, 1], [3, 8, 7, 4, 3, 7]]","[[4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]","[9, 10, 1, 9, 1]",20,5,1,0.044,0.044,0,"[]","supersize","post-supersize",5,"False",5,6,5,4,3760,"True","implicit-mouselab",9,111932,"supersize",0
"6","mouselab","False","[]","[[3, 3, 4, 7, 8, 5], [5, 4, 3, 5, 5, 2], [4, 6, 3, 4, 9, 8], [6, 6, 2, 3, 4, 5], [5, 6, 4, 5, 7, 5]]","[[4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]","[3, 18, 6, 2, 1]",24,6,2,0.031,0.031,0,"[]","supersize","post-supersize",5,"False",5,6,5,4,2241,"True","implicit-mouselab",10,115278,"supersize",0
"7","mouselab","False","[]","[[2, 4, 2, 4, 4], [4, 4, 1, 3, 7], [2, 7, 6, 4, 6], [2, 3, 6, 2, 7], [9, 5, 7, 5, 5]]","[[4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4], [4, 4, 4, 4, 4]]","[5, 5, 3, 5, 12]",12,7,3,0.039,0.039,0,"[]","supersize","control",-1,"False",5,5,5,4,1655,"True","implicit-mouselab",11,118837,"supersize",0
"8","mouselab","False","[]","[[3, 6, 2, 6, 4, 4], [4, 2, 4, 7, 6, 6], [4, 6, 6, 5, 5, 1], [3, 4, 5, 5, 4, 7], [6, 7, 4, 6, 5, 4]]","[[4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]","[6, 12, 3, 7, 2]",14,8,2,0.04,0.04,0,"[]","supersize","pre-supersize",1,"False",5,6,5,4,3287,"True","implicit-mouselab",12,123278,"supersize",0
"9","mouselab","False","[]","[[6, 4, 6, 4, 3, 5], [3, 6, 4, 4, 4, 4], [7, 5, 4, 1, 4, 0], [7, 4, 5, 3, 4, 7], [3, 5, 9, 3, 4, 5]]","[[4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]","[2, 3, 2, 20, 3]",28,9,4,0.039,0.039,0,"[]","supersize","post-supersize",5,"False",5,6,5,4,2023,"True","implicit-mouselab",13,127077,"supersize",0
"10","mouselab","False","[]","[[4, 3, 6, 5, 5, 6], [5, 3, 4, 7, 5, 5], [2, 3, 10, 3, 7, 5], [4, 4, 5, 3, 5, 3], [5, 2, 7, 5, 8, 5]]","[[4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4], [4, 4, 4, 4, 4, 4]]","[9, 6, 5, 9, 1]",12,10,1,0.033,0.033,0,"[]","supersize","pre-supersize",4,"False",5,6,5,4,1663,"True","implicit-mouselab",14,129742,"supersize",0
