prolific_pid,total_bonus
55ae6a39fdf99b44a305f1eb,1.59
55c2910dfdf99b5e72c6efcf,1.6
570fa0905edc8f000fe73c4a,1.62
5869dec37fbbcd00013974e2,1.3
586aa31aa7f6480001ed9a41,1.36
5968fc630e679d0001fabf37,1.69
5b678d8ef6a18700019e3611,1.57
5b7aa12ea545240001d93c98,1.72
5bcf5784c9efd400015e6c41,1.64
5c10724111fe9a00013cd815,1.39
5c9acf28ddbaab001610a0ae,1.6
5d196470a61758001810f398,1.53
5d558ebe886e3f0020e90fce,1.39
5d80e72af73a9d001d0de6b2,1.48
5da7591d4a177900114872be,1.41
5dd597c897405455982d1b0c,1.38
5e331023a48efa04edd6112d,1.62
5e83ff4ae833ed162d4b2fe0,1.51
5ed856ab1f4a23368be98b1a,1.6
5ede226bcf475302f765b0e4,1.32
5edeb5acd5e2a915269548e6,1.63
5ee4f36b9e25d52096d0edfe,1.57
5f069f06c73a74000b938e30,1.74
5f12f0a6da7448296725a476,1.5
5f262a5da3ee73344f66d050,1.48
5f2c4d9ec221140edf238051,1.57
5f3dcb87ec4ebe1f62ecf120,1.46
5f4db830fca470aa50d5659e,1.61
5f83d7926464261a948c5a86,1.3
5f89d1f3ff9be4024f3836ed,1.41
5f945df816189127912c8227,1.71
5f99ba5121189e05a9490a72,1.49
5f99e87c962bbc0cf6dc92d2,1.48
5f9b701704aa55229049cee0,1.33
5fc8a956800c80232e0b7a32,1.58
602ab85c612bfe135c1c85c7,1.5
6065f2714dc4d9d41d9d97f3,1.7
6075286560a96bfb1d481f1a,1.7
607ce7d15a79db07f6287601,1.6
6095f8e49d8ebf32d1d90960,1.47
60a15615a5a48115b4586ec0,1.5
60a5f02f391dbc256811eb55,1.71
60a818508e86cc40cb0574ea,1.47
60aabbf79663fbb5c859d231,1.5
60b0335c3cd4e29c52fa081a,1.42
60b322994d0b901954690036,1.6
60b54dde7e4ce8de0f1f24be,1.62
60b5afaa6e6e7872693249b6,1.55
60b5b426d7e50f69a524a58b,1.34
60b5c455dedb6dcefac4204c,1.72
60b7133d07f8ad3eef5a7ec9,1.56
60b7a77ccd6f5c19f13e83e6,1.39
60b7a7dfc5a1bd9918264eb1,1.66
60b7b7db631266ca06388068,1.62
60b7b9d74138a1fbb1ad04b9,1.4
60b7baf646821960f48196ba,1.58
60b7bd75af8c92afa748324f,1.36
60b7cfdff9c11be8e0767465,1.39
5e62ae018b697304c388e207, 1.9
5f2479aaf9ccc70500888571, 1.9
