type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,highlight_weight,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,is_control,sale_index,highlight_value,trial_type,trial_index,time_elapsed,highlight_value_check,maximized_highlighted_option,highlight_num_clicks,highlight_weight_check,num_highlight_reveals,participant_id,weights_sum
traffic-light-mouselab,True,3,1,"[0, 0, 0, 2, 2, 2, 4, 4, 4, 3, 3, 3, 1, 1, 1, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 14, 14, 14, 13, 13, 13, 13, 12, 12, 12, 11, 11, 11, 10, 10, 10]","[[3, 6, 7, 5, 7], [5, 5, 5, 4, 4], [4, 3, 5, 6, 7]]","[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]","[22, 5, 3]",3,24,1,4,0.065,0.05,0.015,"[0, 2, 4, 3, 1, 5, 6, 7, 8, 9, 14, 13, 12, 11, 10]",15,5,3,157058,45,195,150,none,True,2,3,traffic-light-mouselab,4,244835,7,1,16,3,5,0,30
traffic-light-mouselab,True,3,1,"[14, 14, 14]","[[1, 5, 8, 5, 4], [8, 4, 6, 5, 4], [5, 4, 6, 4, 4]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 0]]","[8, 9, 13]",9,6,2,2,0.065,0.064,0.001,[14],1,5,3,10579,3,196,193,none,False,1,9,traffic-light-mouselab,5,258053,6,0,0,9,0,0,30
traffic-light-mouselab,False,3,1,[],"[[7, 4, 8, 5, 5], [4, 2, 4, 7, 6], [5, 3, 2, 2, 8]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[1, 5, 24]",24,28,3,0,0.049,0.049,0.0,[],0,5,3,27892,0,147,147,none,False,2,24,traffic-light-mouselab,7,342576,5,0,0,24,0,0,30
traffic-light-mouselab,False,3,1,[],"[[2, 6, 5, 4, 4], [3, 3, 3, 5, 6], [2, 4, 4, 3, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[23, 3, 4]",23,26,4,3,0.04,0.04,0.0,[],0,5,3,3960,0,119,119,none,True,0,23,traffic-light-mouselab,8,348115,4,0,0,23,0,0,30
traffic-light-mouselab,False,3,1,"[6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 5, 5, 5]","[[5, 6, 6, 2, 8], [4, 3, 6, 7, 4], [4, 7, 6, 6, 6]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[4, 15, 11]",11,12,5,3,0.06,0.055,0.005,"[6, 7, 8, 9, 5]",5,5,3,12030,15,179,164,none,True,2,11,traffic-light-mouselab,9,361610,6,0,0,11,0,0,30
traffic-light-mouselab,False,3,1,"[6, 6, 6, 13]","[[6, 5, 4, 6, 4], [5, 2, 6, 5, 4], [1, 5, 7, 8, 8]]","[[3, 3, 3, 3, 3], [3, 0, 3, 3, 3], [1, 1, 1, 0, 1]]","[1, 1, 28]",28,36,6,3,0.078,0.07666666666666666,0.0013333333333333333,"[6, 13]",2,5,3,4017,4,235,231,none,False,2,28,traffic-light-mouselab,10,366624,8,1,1,28,1,0,30
traffic-light-mouselab,False,3,1,"[10, 10, 10, 11, 11, 11, 12, 12, 12]","[[6, 3, 5, 6, 4], [5, 4, 4, 10, 8], [5, 3, 6, 6, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 0, 0, 3, 3]]","[10, 7, 13]",13,6,7,2,0.052,0.048999999999999995,0.003,"[10, 11, 12]",3,5,3,5016,9,156,147,none,True,2,13,traffic-light-mouselab,11,372410,6,1,9,13,3,0,30
traffic-light-mouselab,False,3,1,[],"[[3, 5, 6, 5, 7], [5, 4, 4, 5, 3], [7, 7, 2, 3, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 27, 1]",1,34,8,3,0.049,0.049,0.0,[],0,5,3,1856,0,148,148,none,True,2,1,traffic-light-mouselab,12,375260,3,0,0,1,0,0,30
traffic-light-mouselab,False,3,1,"[2, 1, 0, 3, 4]","[[5, 5, 6, 9, 4], [3, 5, 2, 3, 6], [3, 4, 8, 1, 4]]","[[0, 0, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[22, 7, 1]",22,24,9,3,0.073,0.07133333333333333,0.0016666666666666668,"[2, 1, 0, 3, 4]",5,5,3,3180,5,220,215,none,False,0,22,traffic-light-mouselab,13,379621,9,1,5,22,5,0,30
traffic-light-mouselab,False,3,1,"[5, 5, 5]","[[7, 5, 8, 7, 5], [7, 5, 9, 3, 5], [8, 3, 8, 5, 7]]","[[3, 3, 3, 3, 3], [0, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[1, 21, 8]",21,22,10,0,0.073,0.072,0.001,[5],1,5,3,3458,3,218,215,none,True,1,21,traffic-light-mouselab,14,384803,7,0,3,21,1,0,30
traffic-light-mouselab,False,3,1,"[5, 6, 7, 8, 9]","[[7, 9, 6, 7, 3], [5, 7, 4, 7, 5], [4, 7, 5, 6, 9]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[4, 20, 6]",20,20,11,1,0.073,0.07133333333333333,0.0016666666666666668,"[5, 6, 7, 8, 9]",5,5,3,4173,5,218,213,none,False,1,20,traffic-light-mouselab,15,389779,7,1,5,20,5,0,30
