type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,highlight_weight,participant_id
traffic-light-mouselab,True,3,1,[],"[[2, 4, 5, 6, 6], [4, 5, 6, 6, 4], [7, 3, 4, 7, 4]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 10, 2]",16,1,1,0.043,0.043,0.0,[],0,5,3,701,0,128,128,hi,0,traffic-light-mouselab,4,13905,4,0,0,18,0
traffic-light-mouselab,True,3,1,[],"[[6, 1, 3, 3, 4], [4, 5, 6, 2, 5], [8, 5, 4, 5, 6]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,2,1,0.047,0.047,0.0,[],0,5,3,498,0,142,142,low,0,traffic-light-mouselab,5,15081,1,0,0,2,0
traffic-light-mouselab,True,3,1,[],"[[2, 6, 4, 4, 6], [2, 4, 9, 2, 3], [4, 6, 4, 5, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[2, 18, 10]",16,3,0,0.027,0.027,0.0,[],0,5,3,523,0,80,80,medium,2,traffic-light-mouselab,6,16383,4,0,0,10,0
traffic-light-mouselab,False,3,1,[],"[[3, 2, 1, 2, 7], [7, 6, 5, 5, 6], [5, 7, 7, 4, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[18, 10, 2]",16,4,1,0.037,0.037,0.0,[],0,5,3,901,0,110,110,low,2,traffic-light-mouselab,8,18793,7,1,0,2,0
traffic-light-mouselab,False,3,1,[],"[[7, 3, 4, 9, 4], [6, 4, 5, 5, 4], [5, 4, 7, 3, 3]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,5,1,0.039,0.039,0.0,[],0,5,3,433,0,118,118,medium,1,traffic-light-mouselab,9,19905,4,0,0,10,0
traffic-light-mouselab,False,3,1,[],"[[7, 7, 3, 8, 4], [3, 4, 2, 6, 5], [6, 5, 5, 6, 4]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[10, 18, 2]",16,6,0,0.045,0.045,0.0,[],0,5,3,715,0,136,136,hi,1,traffic-light-mouselab,10,21267,3,0,0,18,0
traffic-light-mouselab,False,3,1,[],"[[4, 7, 5, 4, 4], [6, 2, 2, 6, 3], [4, 7, 2, 10, 6]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[18, 10, 2]",16,7,1,0.053,0.053,0.0,[],0,5,3,523,0,160,160,low,2,traffic-light-mouselab,11,22366,7,0,0,2,0
traffic-light-mouselab,False,3,1,[],"[[3, 3, 7, 3, 6], [8, 4, 6, 6, 8], [3, 5, 4, 8, 3]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[10, 18, 2]",16,8,1,0.037,0.037,0.0,[],0,5,3,458,0,112,112,hi,1,traffic-light-mouselab,12,23519,4,0,0,18,0
traffic-light-mouselab,False,3,1,[],"[[5, 7, 4, 6, 4], [4, 6, 6, 4, 3], [3, 5, 8, 6, 5]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[18, 10, 2]",16,9,1,0.065,0.065,0.0,[],0,5,3,647,0,196,196,medium,1,traffic-light-mouselab,13,24743,6,1,0,10,0
traffic-light-mouselab,False,3,1,[],"[[5, 5, 5, 8, 9], [7, 4, 2, 2, 7], [8, 2, 5, 5, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[18, 10, 2]",16,10,1,0.045,0.045,0.0,[],0,5,3,1543,0,134,134,low,2,traffic-light-mouselab,14,26908,2,0,0,2,0
traffic-light-mouselab,False,3,1,[],"[[5, 5, 7, 4, 4], [1, 1, 4, 4, 6], [3, 6, 3, 7, 2]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[2, 18, 10]",16,11,1,0.029,0.029,0.0,[],0,5,3,772,0,88,88,low,0,traffic-light-mouselab,15,28329,5,0,0,2,0
traffic-light-mouselab,False,3,1,[],"[[4, 5, 5, 1, 2], [8, 9, 5, 3, 4], [3, 6, 7, 5, 3]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[10, 18, 2]",16,12,1,0.075,0.075,0.0,[],0,5,3,500,0,224,224,low,2,traffic-light-mouselab,16,29345,6,0,0,2,0
traffic-light-mouselab,False,3,1,[],"[[6, 4, 7, 6, 5], [6, 6, 9, 3, 4], [6, 5, 8, 3, 4]]","[[3, 3, 3, 3, 3], [1, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[2, 10, 18]",16,13,1,0.053,0.053,0.0,[],0,5,3,665,0,158,158,medium,1,traffic-light-mouselab,17,30703,6,0,0,10,0
traffic-light-mouselab,False,3,1,[],"[[8, 5, 7, 4, 4], [4, 8, 4, 6, 5], [2, 7, 6, 4, 3]]","[[1, 1, 1, 1, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[10, 2, 18]",16,14,1,0.064,0.064,0.0,[],0,5,3,721,0,192,192,medium,0,traffic-light-mouselab,18,32109,5,0,0,10,0
traffic-light-mouselab,False,3,1,[],"[[7, 4, 5, 5, 6], [7, 6, 4, 4, 3], [7, 5, 3, 5, 4]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[10, 18, 2]",16,15,1,0.053,0.053,0.0,[],0,5,3,806,0,158,158,low,2,traffic-light-mouselab,19,33479,5,0,0,2,0
traffic-light-mouselab,False,3,1,[],"[[5, 4, 2, 4, 4], [5, 3, 5, 5, 5], [6, 2, 6, 7, 7]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [1, 1, 1, 1, 1]]","[2, 10, 18]",16,16,1,0.025,0.025,0.0,[],0,5,3,611,0,74,74,hi,2,traffic-light-mouselab,20,34736,2,0,0,18,0
