type,is_practice,original_item_cost,sale_item_cost,click_values,payoff_matrix,cost_matrix,weights,highlight_weight,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,num_values_revealed,num_options,num_features,reaction_time,points_click_cost,points_action_utility,points_metalevel_reward,sale_type,is_control,sale_index,trial_type,trial_index,time_elapsed,highlight_option_value,maximized_highlighted_option,highlight_num_clicks,num_highlight_reveals,participant_id
traffic-light-mouselab,True,3,1,"[5, 6, 7, 8, 9]","[[6, 6, 5, 5, 5], [7, 2, 1, 6, 8], [7, 4, 8, 6, 6]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[16, 8, 6]",8,12,1,4,0.06,0.058333333333333334,0.0016666666666666668,"[5, 6, 7, 8, 9]",5,5,3,12702,5,180,175,none,False,1,traffic-light-mouselab,4,221719,8,1,5,5,0
traffic-light-mouselab,True,3,1,"[5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9]","[[5, 4, 7, 7, 5], [4, 1, 3, 5, 5], [2, 5, 4, 6, 5]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[5, 17, 8]",5,14,2,3,0.056,0.051000000000000004,0.005,"[5, 6, 7, 8, 9]",5,5,3,17836,15,168,153,none,True,0,traffic-light-mouselab,5,242216,7,1,0,0,0
traffic-light-mouselab,False,3,1,"[10, 11, 12, 13, 14]","[[5, 0, 6, 5, 6], [3, 4, 6, 5, 8], [8, 8, 7, 4, 5]]","[[3, 3, 3, 3, 3], [3, 3, 3, 3, 3], [0, 0, 0, 0, 0]]","[11, 14, 5]",5,10,3,1,0.032,0.030333333333333334,0.0016666666666666668,"[10, 11, 12, 13, 14]",5,5,3,6937,5,96,91,none,False,2,traffic-light-mouselab,7,255436,8,1,5,5,0
traffic-light-mouselab,False,3,1,"[0, 1, 2, 3, 4]","[[3, 5, 5, 6, 7], [10, 9, 5, 6, 4], [4, 9, 6, 8, 4]]","[[0, 0, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[6, 7, 17]",6,14,4,3,0.071,0.06933333333333333,0.0016666666666666668,"[0, 1, 2, 3, 4]",5,5,3,7259,5,214,209,none,False,0,traffic-light-mouselab,8,266149,6,0,5,5,0
traffic-light-mouselab,False,3,1,"[0, 0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4]","[[5, 4, 5, 4, 2], [6, 4, 1, 6, 5], [5, 3, 7, 5, 5]]","[[0, 0, 0, 0, 0], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[5, 1, 24]",5,28,5,2,0.065,0.060000000000000005,0.005,"[0, 1, 2, 3, 4]",5,5,3,10327,15,194,179,none,True,0,traffic-light-mouselab,9,281750,5,1,15,5,0
traffic-light-mouselab,False,3,1,"[5, 6, 7, 8, 9]","[[5, 4, 3, 7, 6], [3, 5, 2, 6, 7], [5, 6, 4, 6, 7]]","[[3, 3, 3, 3, 3], [0, 0, 0, 0, 0], [3, 3, 3, 3, 3]]","[4, 9, 17]",9,14,6,4,0.069,0.06733333333333334,0.0016666666666666668,"[5, 6, 7, 8, 9]",5,5,3,4576,5,206,201,none,False,1,traffic-light-mouselab,10,291845,7,1,5,5,0
traffic-light-mouselab,False,3,1,"[0, 0, 0, 2, 2, 2]","[[7, 2, 4, 8, 4], [2, 4, 5, 5, 5], [1, 3, 5, 5, 0]]","[[0, 3, 0, 3, 3], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[11, 13, 6]",6,8,7,0,0.036,0.033999999999999996,0.002,"[0, 2]",2,5,3,8247,6,109,103,none,True,2,traffic-light-mouselab,11,302325,1,0,0,0,0
traffic-light-mouselab,False,3,1,"[0, 1, 2, 3]","[[4, 6, 3, 7, 6], [8, 5, 1, 6, 7], [3, 8, 4, 6, 2]]","[[0, 0, 0, 0, 1], [3, 3, 3, 3, 3], [3, 3, 3, 3, 3]]","[18, 3, 9]",18,16,8,3,0.066,0.06466666666666666,0.0013333333333333333,"[0, 1, 2, 3]",4,5,3,4962,4,198,194,none,False,0,traffic-light-mouselab,12,309610,7,1,4,4,0
traffic-light-mouselab,False,3,1,[5],"[[3, 6, 7, 7, 6], [7, 3, 7, 5, 5], [5, 4, 4, 5, 7]]","[[3, 3, 3, 3, 3], [0, 1, 1, 1, 1], [3, 3, 3, 3, 3]]","[8, 2, 20]",2,20,9,0,0.046,0.04566666666666667,0.0003333333333333333,[5],1,5,3,3645,1,138,137,none,False,1,traffic-light-mouselab,13,315898,7,1,1,1,0
traffic-light-mouselab,False,3,1,"[5, 5, 5, 6, 6, 6, 7, 7, 7]","[[7, 4, 7, 5, 7], [3, 5, 8, 7, 10], [3, 4, 2, 4, 3]]","[[3, 3, 3, 3, 3], [0, 0, 0, 3, 3], [3, 3, 3, 3, 3]]","[2, 27, 1]",1,34,10,2,0.077,0.074,0.003,"[5, 6, 7]",3,5,3,9034,9,232,223,none,True,2,traffic-light-mouselab,14,327746,2,0,0,0,0
