,participant_id,problem_id,num_clicks,modification_type,click_cost,revenue,total_payoff
1,0,7,0,random,0.0,0.149,0.149
2,0,2,0,random,0.0,0.007,0.007
3,0,11,0,random,0.0,0.073,0.073
4,0,20,0,random,0.0,0.105,0.105
5,0,12,0,random,0.0,0.03,0.03
6,0,21,0,optimal,0.0,0.129,0.129
7,0,16,0,optimal,0.0,0.061,0.061
8,0,1,0,optimal,0.0,0.076,0.076
9,0,19,0,optimal,0.0,0.032,0.032
10,0,8,0,optimal,0.0,0.085,0.085
11,0,6,0,random,0.0,0.028,0.028
12,0,17,0,random,0.0,0.12,0.12
13,0,13,0,optimal,0.0,0.066,0.066
14,0,4,0,random,0.0,0.074,0.074
15,0,18,0,optimal,0.0,0.093,0.093
16,0,14,0,random,0.0,0.123,0.123
17,0,3,0,optimal,0.0,0.028,0.028
18,0,10,0,optimal,0.0,0.094,0.094
19,0,15,0,random,0.0,0.076,0.076
20,0,9,0,random,0.0,0.068,0.068
21,1,17,0,random,0.0,0.107,0.107
22,1,18,0,optimal,0.0,0.073,0.073
23,1,1,0,random,0.0,0.075,0.075
24,1,8,0,optimal,0.0,0.028,0.028
25,1,13,0,optimal,0.0,0.107,0.107
26,1,3,0,random,0.0,0.039,0.039
27,1,16,0,optimal,0.0,0.048,0.048
28,1,14,0,optimal,0.0,0.077,0.077
29,1,20,1,random,0.001,0.015,0.013999999999999999
30,1,5,1,optimal,0.001,0.074,0.073
31,1,19,5,optimal,0.007,0.062,0.055
32,1,4,0,optimal,0.0,0.15,0.15
33,1,7,0,random,0.0,0.078,0.078
34,1,11,0,random,0.0,0.082,0.082
35,1,21,0,optimal,0.0,0.129,0.129
36,1,12,0,random,0.0,0.102,0.102
37,1,10,0,random,0.0,0.094,0.094
38,1,9,0,random,0.0,0.068,0.068
39,1,2,0,random,0.0,0.111,0.111
40,1,6,0,random,0.0,0.04,0.04
41,2,8,0,optimal,0.0,0.112,0.112
42,2,12,0,optimal,0.0,0.036,0.036
43,2,20,2,random,0.006,0.153,0.147
44,2,13,2,random,0.008,0.09,0.08199999999999999
45,2,14,0,random,0.0,0.123,0.123
46,2,1,1,optimal,0.004,0.105,0.10099999999999999
47,2,17,2,optimal,0.006,0.05,0.044000000000000004
48,2,19,6,random,0.019,0.074,0.05499999999999999
49,2,9,0,optimal,0.0,0.096,0.096
50,2,11,1,optimal,0.003,0.074,0.071
51,2,7,0,optimal,0.0,0.078,0.078
52,2,21,2,random,0.004,0.029,0.025
53,2,2,4,random,0.009,0.111,0.10200000000000001
54,2,4,5,optimal,0.013,0.15,0.13699999999999998
55,2,16,2,random,0.007,0.039,0.032
56,2,18,2,random,0.005,0.093,0.088
57,2,10,3,optimal,0.01,0.14,0.13
58,2,15,5,random,0.01,0.135,0.125
59,2,3,5,optimal,0.01,0.08,0.07
60,2,6,3,random,0.008,0.105,0.097
61,3,11,3,random,0.005,0.1,0.095
62,3,19,3,random,0.005,0.032,0.027
63,3,10,3,optimal,0.005,0.123,0.118
64,3,21,3,random,0.008,0.072,0.064
65,3,2,3,random,0.006,0.07,0.064
66,3,7,3,optimal,0.005,0.102,0.09699999999999999
67,3,17,1,random,0.004,0.106,0.102
68,3,20,1,optimal,0.004,0.073,0.06899999999999999
69,3,4,2,random,0.002,0.054,0.052
70,3,6,2,optimal,0.005,0.106,0.10099999999999999
71,3,15,0,optimal,0.0,0.143,0.143
72,3,14,1,optimal,0.002,0.091,0.089
73,3,9,1,optimal,0.001,0.066,0.065
74,3,1,3,random,0.004,0.063,0.059
75,3,8,0,random,0.0,0.104,0.104
76,3,18,2,optimal,0.002,0.064,0.062
77,3,3,2,random,0.004,0.047,0.043
78,3,16,2,random,0.004,0.089,0.08499999999999999
79,3,5,1,optimal,0.003,0.178,0.175
80,3,13,2,random,0.002,0.048,0.046
81,4,3,0,optimal,0.0,0.068,0.068
82,4,7,0,random,0.0,0.079,0.079
83,4,19,1,random,0.001,0.079,0.078
84,4,4,0,optimal,0.0,0.096,0.096
85,4,20,0,optimal,0.0,0.098,0.098
86,4,13,0,optimal,0.0,0.107,0.107
87,4,15,0,random,0.0,0.03,0.03
88,4,8,0,optimal,0.0,0.104,0.104
89,4,1,0,optimal,0.0,0.105,0.105
90,4,10,0,random,0.0,0.01,0.01
91,4,9,0,optimal,0.0,0.155,0.155
92,4,11,0,optimal,0.0,0.074,0.074
93,4,2,0,random,0.0,0.071,0.071
94,4,6,0,optimal,0.0,0.105,0.105
95,4,16,0,random,0.0,0.039,0.039
96,4,21,0,random,0.0,0.068,0.068
97,4,12,0,optimal,0.0,0.151,0.151
98,4,17,0,random,0.0,0.079,0.079
99,4,14,0,random,0.0,0.134,0.134
100,4,18,0,random,0.0,0.048,0.048
101,5,9,0,optimal,0.0,0.155,0.155
102,5,19,4,random,0.008,0.093,0.08499999999999999
103,5,20,0,random,0.0,0.096,0.096
104,5,1,0,optimal,0.0,0.075,0.075
105,5,6,0,optimal,0.0,0.105,0.105
106,5,13,0,random,0.0,0.107,0.107
107,5,10,0,optimal,0.0,0.14,0.14
108,5,21,0,random,0.0,0.129,0.129
109,5,17,0,random,0.0,0.098,0.098
110,5,18,0,random,0.0,0.118,0.118
111,5,7,0,optimal,0.0,0.135,0.135
112,5,5,0,optimal,0.0,0.047,0.047
113,5,3,0,optimal,0.0,0.134,0.134
114,5,4,0,optimal,0.0,0.15,0.15
115,5,8,0,optimal,0.0,0.106,0.106
116,5,15,0,random,0.0,0.055,0.055
117,5,11,0,random,0.0,0.104,0.104
118,5,16,0,random,0.0,0.145,0.145
119,5,12,0,optimal,0.0,0.151,0.151
120,5,2,0,random,0.0,0.051,0.051
121,6,3,0,random,0.0,0.058,0.058
122,6,12,4,random,0.013,0.014,0.0010000000000000009
123,6,13,0,random,0.0,0.139,0.139
124,6,5,0,optimal,0.0,0.08,0.08
125,6,16,2,optimal,0.005,0.145,0.13999999999999999
126,6,10,4,optimal,0.01,0.078,0.068
127,6,6,0,optimal,0.0,0.032,0.032
128,6,8,0,random,0.0,0.085,0.085
129,6,9,0,optimal,0.0,0.155,0.155
130,6,7,0,random,0.0,0.078,0.078
131,6,18,0,random,0.0,0.118,0.118
132,6,14,0,optimal,0.0,0.083,0.083
133,6,4,0,optimal,0.0,0.074,0.074
134,6,21,1,random,0.002,0.129,0.127
135,6,20,2,optimal,0.008,0.105,0.097
136,6,1,3,random,0.008,0.105,0.097
137,6,2,5,random,0.013,0.111,0.098
138,6,17,0,random,0.0,0.009,0.009
139,6,19,0,random,0.0,0.079,0.079
140,6,11,0,optimal,0.0,0.132,0.132
141,7,10,5,random,0.012,0.088,0.076
142,7,4,0,optimal,0.0,0.096,0.096
143,7,18,0,random,0.0,0.048,0.048
144,7,12,0,random,0.0,0.129,0.129
145,7,19,0,optimal,0.0,0.093,0.093
146,7,7,0,optimal,0.0,0.122,0.122
147,7,21,0,optimal,0.0,0.117,0.117
148,7,16,0,random,0.0,0.053,0.053
149,7,6,0,random,0.0,0.048,0.048
150,7,1,0,optimal,0.0,0.075,0.075
151,7,5,0,optimal,0.0,0.088,0.088
152,7,14,0,random,0.0,0.123,0.123
153,7,2,0,optimal,0.0,0.14,0.14
154,7,20,0,optimal,0.0,0.073,0.073
155,7,8,0,random,0.0,0.085,0.085
156,7,13,0,random,0.0,0.139,0.139
157,7,3,0,optimal,0.0,0.035,0.035
158,7,17,0,optimal,0.0,0.009,0.009
159,7,9,0,random,0.0,0.1,0.1
160,7,11,0,random,0.0,0.104,0.104
161,8,3,11,optimal,0.023,0.061,0.038
162,8,5,0,optimal,0.0,0.103,0.103
163,8,12,0,optimal,0.0,0.056,0.056
164,8,21,0,optimal,0.0,0.102,0.102
165,8,17,3,random,0.007,0.05,0.043000000000000003
166,8,14,0,random,0.0,0.123,0.123
167,8,19,0,optimal,0.0,0.062,0.062
168,8,6,0,random,0.0,0.025,0.025
169,8,20,0,random,0.0,0.098,0.098
170,8,9,0,optimal,0.0,0.004,0.004
171,8,7,0,optimal,0.0,0.084,0.084
172,8,16,0,random,0.0,0.084,0.084
173,8,10,0,optimal,0.0,0.094,0.094
174,8,11,0,optimal,0.0,0.021,0.021
175,8,18,0,random,0.0,0.074,0.074
176,8,15,0,optimal,0.0,0.125,0.125
177,8,1,0,random,0.0,0.075,0.075
178,8,8,0,random,0.0,0.114,0.114
179,8,2,0,optimal,0.0,0.121,0.121
180,8,13,0,random,0.0,0.086,0.086
181,9,8,0,optimal,0.0,0.085,0.085
182,9,1,0,optimal,0.0,0.047,0.047
183,9,14,0,random,0.0,0.133,0.133
184,9,12,0,random,0.0,0.1,0.1
185,9,7,0,random,0.0,0.111,0.111
186,9,15,0,optimal,0.0,0.03,0.03
187,9,9,0,optimal,0.0,0.08,0.08
188,9,3,0,optimal,0.0,0.068,0.068
189,9,10,0,random,0.0,0.046,0.046
190,9,16,0,random,0.0,0.044,0.044
191,9,20,0,random,0.0,0.03,0.03
192,9,13,0,optimal,0.0,0.139,0.139
193,9,5,0,random,0.0,0.12,0.12
194,9,2,0,random,0.0,0.075,0.075
195,9,11,0,optimal,0.0,0.132,0.132
196,9,18,0,optimal,0.0,0.093,0.093
197,9,17,0,optimal,0.0,0.098,0.098
198,9,21,0,random,0.0,0.129,0.129
199,9,4,0,optimal,0.0,0.15,0.15
200,9,6,0,optimal,0.0,0.06,0.06
201,10,2,3,optimal,0.006,0.111,0.105
202,10,14,4,random,0.006,0.133,0.127
203,10,7,0,random,0.0,0.111,0.111
204,10,15,5,random,0.005,0.09,0.08499999999999999
205,10,11,2,optimal,0.002,0.116,0.114
206,10,10,2,random,0.002,0.082,0.08
207,10,13,4,optimal,0.006,0.107,0.10099999999999999
208,10,1,5,optimal,0.006,0.138,0.132
209,10,9,6,optimal,0.006,0.155,0.149
210,10,3,6,random,0.006,0.08,0.074
211,10,21,3,random,0.005,0.129,0.124
212,10,16,3,random,0.005,0.053,0.048
213,10,17,2,random,0.002,0.106,0.104
214,10,6,4,optimal,0.004,0.032,0.028
215,10,4,7,random,0.011,0.094,0.083
216,10,12,3,optimal,0.003,0.092,0.089
217,10,18,8,optimal,0.011,0.118,0.107
218,10,5,3,optimal,0.005,0.12,0.11499999999999999
219,10,20,1,optimal,0.001,0.105,0.104
220,10,19,6,optimal,0.006,0.026,0.019999999999999997
221,11,6,0,optimal,0.0,0.06,0.06
222,11,16,0,optimal,0.0,0.069,0.069
223,11,21,0,random,0.0,0.134,0.134
224,11,10,0,random,0.0,0.07,0.07
225,11,18,0,optimal,0.0,0.037,0.037
226,11,5,0,optimal,0.0,0.047,0.047
227,11,15,0,random,0.0,0.088,0.088
228,11,7,0,random,0.0,0.111,0.111
229,11,12,0,random,0.0,0.036,0.036
230,11,17,0,random,0.0,0.102,0.102
231,11,11,0,optimal,0.0,0.132,0.132
232,11,2,0,random,0.0,0.075,0.075
233,11,8,0,optimal,0.0,0.106,0.106
234,11,9,0,optimal,0.0,0.08,0.08
235,11,14,0,optimal,0.0,0.133,0.133
236,11,19,0,optimal,0.0,0.038,0.038
237,11,13,0,random,0.0,0.107,0.107
238,11,1,0,random,0.0,0.092,0.092
239,11,20,0,random,0.0,0.085,0.085
240,11,4,0,optimal,0.0,0.096,0.096
241,12,9,3,random,0.012,0.155,0.143
242,12,21,3,optimal,0.008,0.134,0.126
243,12,20,3,optimal,0.011,0.063,0.052000000000000005
244,12,11,7,random,0.02,0.116,0.096
245,12,5,6,random,0.021,0.12,0.09899999999999999
246,12,2,2,optimal,0.005,0.111,0.106
247,12,15,2,optimal,0.007,0.143,0.13599999999999998
248,12,4,5,optimal,0.013,0.15,0.13699999999999998
249,12,19,7,random,0.022,0.074,0.052
250,12,6,2,optimal,0.004,0.032,0.028
251,12,3,2,random,0.003,0.1,0.097
252,12,7,1,random,0.002,0.122,0.12
253,12,10,3,random,0.007,0.098,0.091
254,12,18,2,random,0.005,0.118,0.11299999999999999
255,12,8,1,optimal,0.002,0.106,0.104
256,12,14,1,optimal,0.002,0.139,0.137
257,12,1,2,optimal,0.008,0.075,0.067
258,12,16,6,random,0.022,0.039,0.017
259,12,17,3,random,0.01,0.14,0.13
260,12,12,2,optimal,0.004,0.03,0.026
261,13,2,15,optimal,0.046,0.14,0.09400000000000001
262,13,12,6,random,0.017,0.129,0.112
263,13,8,1,optimal,0.004,0.028,0.024
264,13,5,1,optimal,0.003,0.045,0.041999999999999996
265,13,1,2,random,0.005,0.067,0.062000000000000006
