problem_id,nudge_type,payoff,decision_cost,max_payoff
13592089352821279426,greedy,201.0,1.0,201.0
13592089352821279426,none,168.0,7.0,178.0
13592089352821279426,greedy,160.0,7.0,168.0
13592089352821279426,none,178.0,4.0,178.0
13592089352821279426,greedy,172.0,9.0,172.0
13592089352821279426,none,189.0,6.0,224.0
13592089352821279426,greedy,181.0,1.0,181.0
13592089352821279426,none,157.0,1.0,178.0
13592089352821279426,greedy,183.0,6.0,189.0
13592089352821279426,none,191.0,4.0,217.0
13592089352821279426,greedy,182.0,2.0,182.0
13592089352821279426,none,189.0,1.0,189.0
13592089352821279426,greedy,163.0,8.0,163.0
13592089352821279426,none,165.0,1.0,189.0
13592089352821279426,greedy,185.0,4.0,185.0
13592089352821279426,none,178.0,4.0,178.0
13592089352821279426,greedy,186.0,1.0,186.0
13592089352821279426,none,181.0,4.0,195.0
13592089352821279426,greedy,207.0,1.0,207.0
13592089352821279426,none,178.0,8.0,179.0
7276157912391008396,greedy,223.0,1.0,223.0
7276157912391008396,none,207.0,1.0,207.0
7276157912391008396,greedy,209.0,2.0,209.0
7276157912391008396,none,170.0,10.0,186.0
7276157912391008396,greedy,177.0,7.0,195.0
7276157912391008396,none,213.0,1.0,225.0
7276157912391008396,greedy,201.0,1.0,222.0
7276157912391008396,none,216.0,2.0,216.0
7276157912391008396,greedy,205.0,3.0,205.0
7276157912391008396,none,182.0,1.0,198.0
7276157912391008396,greedy,203.0,2.0,203.0
7276157912391008396,none,195.0,1.0,215.0
7276157912391008396,greedy,170.0,12.0,177.0
7276157912391008396,none,166.0,10.0,181.0
7276157912391008396,greedy,166.0,7.0,191.0
7276157912391008396,none,191.0,1.0,194.0
7276157912391008396,greedy,227.0,4.0,227.0
7276157912391008396,none,167.0,12.0,167.0
7276157912391008396,greedy,186.0,10.0,186.0
7276157912391008396,none,236.0,3.0,236.0
9798414325759614686,greedy,182.0,5.0,182.0
9798414325759614686,none,186.0,4.0,186.0
9798414325759614686,greedy,221.0,7.0,221.0
9798414325759614686,none,202.0,1.0,202.0
9798414325759614686,greedy,190.0,1.0,190.0
9798414325759614686,none,168.0,4.0,168.0
9798414325759614686,greedy,200.0,4.0,200.0
9798414325759614686,none,196.0,9.0,200.0
9798414325759614686,greedy,210.0,1.0,210.0
9798414325759614686,none,201.0,3.0,201.0
9798414325759614686,greedy,186.0,3.0,186.0
9798414325759614686,none,183.0,5.0,183.0
9798414325759614686,greedy,182.0,4.0,185.0
9798414325759614686,none,184.0,7.0,184.0
9798414325759614686,greedy,195.0,8.0,195.0
9798414325759614686,none,182.0,3.0,182.0
9798414325759614686,greedy,178.0,3.0,180.0
9798414325759614686,none,190.0,9.0,191.0
9798414325759614686,greedy,196.0,4.0,196.0
9798414325759614686,none,169.0,9.0,169.0
16434630009527816009,greedy,171.0,2.0,171.0
16434630009527816009,none,186.0,6.0,186.0
16434630009527816009,greedy,182.0,6.0,182.0
16434630009527816009,none,151.0,6.0,161.0
16434630009527816009,greedy,186.0,3.0,198.0
16434630009527816009,none,183.0,11.0,183.0
16434630009527816009,greedy,172.0,3.0,172.0
16434630009527816009,none,187.0,6.0,187.0
16434630009527816009,greedy,177.0,3.0,177.0
16434630009527816009,none,143.0,6.0,157.0
16434630009527816009,greedy,184.0,12.0,184.0
16434630009527816009,none,174.0,13.0,174.0
16434630009527816009,greedy,143.0,13.0,147.0
16434630009527816009,none,151.0,6.0,174.0
16434630009527816009,greedy,183.0,3.0,187.0
16434630009527816009,none,169.0,6.0,169.0
16434630009527816009,greedy,153.0,9.0,167.0
16434630009527816009,none,159.0,9.0,166.0
16434630009527816009,greedy,148.0,6.0,162.0
16434630009527816009,none,175.0,11.0,175.0
9684484100639788640,greedy,187.0,1.0,187.0
9684484100639788640,none,179.0,7.0,179.0
9684484100639788640,greedy,179.0,1.0,179.0
9684484100639788640,none,180.0,6.0,180.0
9684484100639788640,greedy,179.0,1.0,186.0
9684484100639788640,none,175.0,7.0,175.0
9684484100639788640,greedy,198.0,1.0,209.0
9684484100639788640,none,186.0,5.0,186.0
9684484100639788640,greedy,174.0,8.0,174.0
9684484100639788640,none,180.0,6.0,180.0
9684484100639788640,greedy,178.0,4.0,178.0
9684484100639788640,none,203.0,4.0,224.0
9684484100639788640,greedy,173.0,5.0,173.0
9684484100639788640,none,192.0,4.0,192.0
9684484100639788640,greedy,165.0,9.0,165.0
9684484100639788640,none,193.0,4.0,196.0
9684484100639788640,greedy,176.0,9.0,176.0
9684484100639788640,none,191.0,4.0,195.0
9684484100639788640,greedy,189.0,1.0,189.0
9684484100639788640,none,163.0,5.0,163.0
11744654480151568685,greedy,145.0,6.0,166.0
11744654480151568685,none,170.0,5.0,175.0
11744654480151568685,greedy,143.0,12.0,144.0
11744654480151568685,none,173.0,6.0,173.0
11744654480151568685,greedy,165.0,4.0,165.0
11744654480151568685,none,139.0,4.0,161.0
11744654480151568685,greedy,165.0,4.0,165.0
11744654480151568685,none,175.0,8.0,175.0
11744654480151568685,greedy,139.0,1.0,172.0
11744654480151568685,none,138.0,4.0,175.0
11744654480151568685,greedy,156.0,7.0,156.0
11744654480151568685,none,173.0,4.0,182.0
11744654480151568685,greedy,156.0,6.0,180.0
11744654480151568685,none,143.0,5.0,143.0
11744654480151568685,greedy,149.0,5.0,151.0
11744654480151568685,none,173.0,6.0,173.0
11744654480151568685,greedy,147.0,4.0,165.0
11744654480151568685,none,155.0,6.0,155.0
11744654480151568685,greedy,141.0,17.0,154.0
11744654480151568685,none,186.0,4.0,186.0
5818329813047797318,greedy,133.0,13.0,133.0
5818329813047797318,none,146.0,11.0,146.0
5818329813047797318,greedy,155.0,8.0,155.0
5818329813047797318,none,146.0,9.0,146.0
5818329813047797318,greedy,153.0,5.0,153.0
5818329813047797318,none,137.0,14.0,137.0
5818329813047797318,greedy,155.0,1.0,155.0
5818329813047797318,none,151.0,9.0,151.0
5818329813047797318,greedy,146.0,11.0,146.0
5818329813047797318,none,153.0,3.0,153.0
5818329813047797318,greedy,120.0,7.0,129.0
5818329813047797318,none,155.0,6.0,155.0
5818329813047797318,greedy,168.0,6.0,168.0
