problem_id,nudge_type,payoff,decision_cost,weight_dev,max_payoff
2200796626421138036,none,187.0,4.0,16.0,187.0
2200796626421138036,random,187.0,-0.0,16.0,187.0
2200796626421138036,extreme,187.0,4.0,16.0,187.0
2200796626421138036,greedy,187.0,-0.0,16.0,187.0
2200796626421138036,none,144.0,14.0,14.0,144.0
2200796626421138036,random,144.0,12.0,14.0,144.0
2200796626421138036,extreme,144.0,16.0,14.0,144.0
2200796626421138036,greedy,144.0,4.0,14.0,144.0
2200796626421138036,none,170.0,2.0,16.0,170.0
2200796626421138036,random,170.0,4.0,16.0,170.0
2200796626421138036,extreme,170.0,6.0,16.0,170.0
2200796626421138036,greedy,170.0,-0.0,16.0,170.0
2200796626421138036,none,129.0,14.0,20.0,148.0
2200796626421138036,random,148.0,-0.0,20.0,148.0
2200796626421138036,extreme,131.0,10.0,20.0,148.0
2200796626421138036,greedy,148.0,-0.0,20.0,148.0
2200796626421138036,none,160.0,10.0,32.0,160.0
2200796626421138036,random,160.0,10.0,32.0,160.0
2200796626421138036,extreme,160.0,8.0,32.0,160.0
2200796626421138036,greedy,160.0,10.0,32.0,160.0
2200796626421138036,none,175.0,2.0,16.0,175.0
2200796626421138036,random,175.0,8.0,16.0,175.0
2200796626421138036,extreme,175.0,4.0,16.0,175.0
2200796626421138036,greedy,175.0,4.0,16.0,175.0
2200796626421138036,none,141.0,10.0,26.0,141.0
2200796626421138036,random,141.0,10.0,26.0,141.0
2200796626421138036,extreme,141.0,8.0,26.0,141.0
2200796626421138036,greedy,141.0,10.0,26.0,141.0
2200796626421138036,none,144.0,10.0,18.0,144.0
2200796626421138036,random,144.0,10.0,18.0,144.0
2200796626421138036,extreme,144.0,8.0,18.0,144.0
2200796626421138036,greedy,144.0,10.0,18.0,144.0
2200796626421138036,none,174.0,4.0,12.0,174.0
2200796626421138036,random,174.0,6.0,12.0,174.0
2200796626421138036,extreme,174.0,10.0,12.0,174.0
2200796626421138036,greedy,174.0,-0.0,12.0,174.0
2200796626421138036,none,142.0,6.0,20.0,159.0
2200796626421138036,random,159.0,4.0,20.0,159.0
2200796626421138036,extreme,159.0,10.0,20.0,159.0
2200796626421138036,greedy,159.0,4.0,20.0,159.0
18280584775911211440,none,172.0,12.0,12.0,172.0
18280584775911211440,random,169.0,8.0,12.0,172.0
18280584775911211440,extreme,172.0,12.0,12.0,172.0
18280584775911211440,greedy,172.0,10.0,12.0,172.0
18280584775911211440,none,190.0,4.0,16.0,190.0
18280584775911211440,random,190.0,8.0,16.0,190.0
18280584775911211440,extreme,190.0,2.0,16.0,190.0
18280584775911211440,greedy,190.0,-0.0,16.0,190.0
18280584775911211440,none,192.0,8.0,16.0,192.0
18280584775911211440,random,192.0,14.0,16.0,192.0
18280584775911211440,extreme,192.0,-0.0,16.0,192.0
18280584775911211440,greedy,192.0,-0.0,16.0,192.0
18280584775911211440,none,157.0,6.0,26.0,183.0
18280584775911211440,random,183.0,4.0,26.0,183.0
18280584775911211440,extreme,183.0,4.0,26.0,183.0
18280584775911211440,greedy,183.0,4.0,26.0,183.0
18280584775911211440,none,168.0,14.0,14.0,177.0
18280584775911211440,random,175.0,-0.0,14.0,177.0
18280584775911211440,extreme,175.0,2.0,14.0,177.0
18280584775911211440,greedy,175.0,2.0,14.0,177.0
18280584775911211440,none,179.0,14.0,18.0,179.0
18280584775911211440,random,179.0,6.0,18.0,179.0
18280584775911211440,extreme,179.0,10.0,18.0,179.0
18280584775911211440,greedy,179.0,10.0,18.0,179.0
18280584775911211440,none,186.0,12.0,18.0,186.0
18280584775911211440,random,186.0,4.0,18.0,186.0
18280584775911211440,extreme,186.0,4.0,18.0,186.0
18280584775911211440,greedy,186.0,4.0,18.0,186.0
18280584775911211440,none,175.0,6.0,14.0,177.0
18280584775911211440,random,175.0,4.0,14.0,177.0
18280584775911211440,extreme,175.0,4.0,14.0,177.0
18280584775911211440,greedy,175.0,4.0,14.0,177.0
18280584775911211440,none,200.0,6.0,20.0,200.0
18280584775911211440,random,200.0,6.0,20.0,200.0
18280584775911211440,extreme,200.0,2.0,20.0,200.0
