problem_id,nudge_type,payoff,decision_cost,weight_dev,max_payoff
16539216839880068987,none,134.0,4.0,14.0,146.0
16539216839880068987,random,134.0,2.0,14.0,146.0
16539216839880068987,extreme,134.0,13.0,14.0,146.0
16539216839880068987,greedy,134.0,2.0,14.0,146.0
16539216839880068987,none,140.0,13.0,14.0,148.0
16539216839880068987,random,140.0,2.0,14.0,148.0
16539216839880068987,extreme,140.0,10.0,14.0,148.0
16539216839880068987,greedy,140.0,2.0,14.0,148.0
16539216839880068987,none,154.0,15.0,10.0,154.0
16539216839880068987,random,154.0,14.0,10.0,154.0
16539216839880068987,extreme,154.0,13.0,10.0,154.0
16539216839880068987,greedy,154.0,15.0,10.0,154.0
16539216839880068987,none,145.0,15.0,24.0,145.0
16539216839880068987,random,145.0,13.0,24.0,145.0
16539216839880068987,extreme,145.0,13.0,24.0,145.0
16539216839880068987,greedy,145.0,15.0,24.0,145.0
16539216839880068987,none,140.0,14.0,8.0,144.0
16539216839880068987,random,122.0,4.0,8.0,144.0
16539216839880068987,extreme,140.0,15.0,8.0,144.0
16539216839880068987,greedy,140.0,7.0,8.0,144.0
16539216839880068987,none,158.0,13.0,18.0,158.0
16539216839880068987,random,158.0,13.0,18.0,158.0
16539216839880068987,extreme,158.0,11.0,18.0,158.0
16539216839880068987,greedy,158.0,11.0,18.0,158.0
16539216839880068987,none,143.0,14.0,26.0,152.0
16539216839880068987,random,134.0,13.0,26.0,152.0
16539216839880068987,extreme,144.0,15.0,26.0,152.0
16539216839880068987,greedy,134.0,14.0,26.0,152.0
16539216839880068987,none,164.0,7.0,24.0,164.0
16539216839880068987,random,164.0,2.0,24.0,164.0
16539216839880068987,extreme,164.0,4.0,24.0,164.0
16539216839880068987,greedy,164.0,2.0,24.0,164.0
16539216839880068987,none,171.0,9.0,18.0,171.0
16539216839880068987,random,171.0,9.0,18.0,171.0
16539216839880068987,extreme,171.0,1.0,18.0,171.0
16539216839880068987,greedy,171.0,1.0,18.0,171.0
16539216839880068987,none,157.0,10.0,12.0,157.0
16539216839880068987,random,157.0,6.0,12.0,157.0
16539216839880068987,extreme,138.0,1.0,12.0,157.0
16539216839880068987,greedy,138.0,1.0,12.0,157.0
17106435082623445251,none,189.0,13.0,18.0,189.0
17106435082623445251,random,189.0,9.0,18.0,189.0
17106435082623445251,extreme,189.0,12.0,18.0,189.0
17106435082623445251,greedy,178.0,17.0,18.0,189.0
17106435082623445251,none,192.0,10.0,16.0,192.0
17106435082623445251,random,192.0,8.0,16.0,192.0
17106435082623445251,extreme,192.0,11.0,16.0,192.0
17106435082623445251,greedy,192.0,2.0,16.0,192.0
17106435082623445251,none,185.0,13.0,18.0,185.0
17106435082623445251,random,185.0,11.0,18.0,185.0
17106435082623445251,extreme,185.0,11.0,18.0,185.0
17106435082623445251,greedy,185.0,13.0,18.0,185.0
17106435082623445251,none,195.0,12.0,16.0,195.0
17106435082623445251,random,191.0,3.0,16.0,195.0
17106435082623445251,extreme,195.0,1.0,16.0,195.0
17106435082623445251,greedy,191.0,1.0,16.0,195.0
17106435082623445251,none,99.0,3.0,2.0,186.0
17106435082623445251,random,186.0,9.0,2.0,186.0
17106435082623445251,extreme,178.0,1.0,2.0,186.0
17106435082623445251,greedy,186.0,1.0,2.0,186.0
17106435082623445251,none,181.0,7.0,10.0,182.0
17106435082623445251,random,181.0,6.0,10.0,182.0
17106435082623445251,extreme,182.0,6.0,10.0,182.0
17106435082623445251,greedy,181.0,11.0,10.0,182.0
17106435082623445251,none,206.0,6.0,24.0,206.0
17106435082623445251,random,206.0,3.0,24.0,206.0
17106435082623445251,extreme,206.0,1.0,24.0,206.0
17106435082623445251,greedy,196.0,1.0,24.0,206.0
17106435082623445251,none,168.0,13.0,18.0,176.0
17106435082623445251,random,168.0,9.0,18.0,176.0
17106435082623445251,extreme,168.0,11.0,18.0,176.0
17106435082623445251,greedy,168.0,13.0,18.0,176.0
17106435082623445251,none,207.0,4.0,26.0,207.0
17106435082623445251,random,207.0,5.0,26.0,207.0
17106435082623445251,extreme,207.0,4.0,26.0,207.0
17106435082623445251,greedy,207.0,1.0,26.0,207.0
17106435082623445251,none,191.0,9.0,22.0,191.0
17106435082623445251,random,191.0,16.0,22.0,191.0
17106435082623445251,extreme,191.0,16.0,22.0,191.0
17106435082623445251,greedy,191.0,13.0,22.0,191.0
6841419397035979098,none,164.0,4.0,12.0,193.0
6841419397035979098,random,193.0,6.0,12.0,193.0
6841419397035979098,extreme,177.0,1.0,12.0,193.0
6841419397035979098,greedy,177.0,1.0,12.0,193.0
6841419397035979098,none,166.0,13.0,20.0,166.0
6841419397035979098,random,166.0,13.0,20.0,166.0
6841419397035979098,extreme,166.0,13.0,20.0,166.0
6841419397035979098,greedy,166.0,13.0,20.0,166.0
6841419397035979098,none,173.0,19.0,22.0,173.0
6841419397035979098,random,173.0,17.0,22.0,173.0
6841419397035979098,extreme,173.0,19.0,22.0,173.0
6841419397035979098,greedy,173.0,17.0,22.0,173.0
6841419397035979098,none,179.0,18.0,20.0,179.0
6841419397035979098,random,179.0,18.0,20.0,179.0
6841419397035979098,extreme,179.0,18.0,20.0,179.0
6841419397035979098,greedy,179.0,22.0,20.0,179.0
6841419397035979098,none,225.0,3.0,18.0,225.0
6841419397035979098,random,225.0,4.0,18.0,225.0
6841419397035979098,extreme,200.0,1.0,18.0,225.0
6841419397035979098,greedy,225.0,1.0,18.0,225.0
6841419397035979098,none,188.0,13.0,12.0,188.0
6841419397035979098,random,188.0,14.0,12.0,188.0
