problem_id,nudge_type,payoff,decision_cost,max_payoff
451400794151403218,random,217.0,3.0,217.0
451400794151403218,extreme,205.0,1.0,205.0
451400794151403218,greedy,193.0,1.0,193.0
451400794151403218,random,225.0,4.0,225.0
451400794151403218,extreme,217.0,1.0,217.0
451400794151403218,greedy,189.0,1.0,189.0
451400794151403218,random,173.0,11.0,183.0
451400794151403218,extreme,222.0,1.0,222.0
451400794151403218,greedy,211.0,1.0,211.0
451400794151403218,random,204.0,4.0,204.0
451400794151403218,extreme,208.0,1.0,208.0
451400794151403218,greedy,197.0,1.0,197.0
451400794151403218,random,198.0,4.0,198.0
451400794151403218,extreme,183.0,5.0,183.0
451400794151403218,greedy,220.0,1.0,220.0
451400794151403218,random,172.0,2.0,197.0
451400794151403218,extreme,181.0,13.0,181.0
451400794151403218,greedy,199.0,1.0,199.0
451400794151403218,random,185.0,2.0,189.0
451400794151403218,extreme,218.0,1.0,218.0
451400794151403218,greedy,179.0,13.0,179.0
451400794151403218,random,205.0,3.0,205.0
451400794151403218,extreme,200.0,1.0,200.0
451400794151403218,greedy,200.0,2.0,200.0
451400794151403218,random,176.0,11.0,176.0
451400794151403218,extreme,224.0,1.0,224.0
451400794151403218,greedy,219.0,1.0,219.0
451400794151403218,random,214.0,4.0,214.0
451400794151403218,extreme,173.0,13.0,173.0
451400794151403218,greedy,207.0,1.0,207.0
14669816468583182957,random,162.0,1.0,216.0
14669816468583182957,extreme,213.0,2.0,213.0
14669816468583182957,greedy,211.0,8.0,211.0
14669816468583182957,random,209.0,9.0,209.0
14669816468583182957,extreme,202.0,1.0,202.0
14669816468583182957,greedy,205.0,1.0,205.0
14669816468583182957,random,174.0,1.0,223.0
14669816468583182957,extreme,214.0,1.0,214.0
14669816468583182957,greedy,211.0,1.0,211.0
14669816468583182957,random,182.0,1.0,225.0
14669816468583182957,extreme,204.0,1.0,204.0
14669816468583182957,greedy,196.0,7.0,196.0
14669816468583182957,random,202.0,3.0,202.0
14669816468583182957,extreme,202.0,2.0,202.0
14669816468583182957,greedy,201.0,1.0,201.0
14669816468583182957,random,178.0,1.0,227.0
14669816468583182957,extreme,156.0,1.0,210.0
14669816468583182957,greedy,212.0,1.0,212.0
14669816468583182957,random,203.0,6.0,203.0
14669816468583182957,extreme,188.0,6.0,207.0
14669816468583182957,greedy,192.0,7.0,204.0
14669816468583182957,random,166.0,1.0,222.0
14669816468583182957,extreme,205.0,2.0,205.0
14669816468583182957,greedy,197.0,1.0,197.0
14669816468583182957,random,183.0,6.0,197.0
14669816468583182957,extreme,203.0,6.0,203.0
14669816468583182957,greedy,200.0,7.0,200.0
14669816468583182957,random,186.0,6.0,203.0
14669816468583182957,extreme,193.0,6.0,213.0
14669816468583182957,greedy,201.0,1.0,201.0
6795252418098559150,random,171.0,7.0,171.0
6795252418098559150,extreme,195.0,7.0,195.0
6795252418098559150,greedy,182.0,1.0,182.0
6795252418098559150,random,156.0,9.0,163.0
6795252418098559150,extreme,174.0,6.0,174.0
6795252418098559150,greedy,186.0,4.0,186.0
6795252418098559150,random,151.0,15.0,151.0
6795252418098559150,extreme,141.0,1.0,166.0
6795252418098559150,greedy,176.0,1.0,176.0
6795252418098559150,random,162.0,9.0,171.0
6795252418098559150,extreme,147.0,15.0,157.0
6795252418098559150,greedy,180.0,11.0,180.0
6795252418098559150,random,186.0,7.0,186.0
6795252418098559150,extreme,159.0,1.0,171.0
6795252418098559150,greedy,184.0,1.0,184.0
6795252418098559150,random,156.0,9.0,169.0
6795252418098559150,extreme,178.0,6.0,178.0
6795252418098559150,greedy,181.0,1.0,181.0
6795252418098559150,random,162.0,9.0,172.0
6795252418098559150,extreme,177.0,8.0,177.0
6795252418098559150,greedy,178.0,4.0,178.0
6795252418098559150,random,183.0,4.0,183.0
6795252418098559150,extreme,162.0,15.0,162.0
6795252418098559150,greedy,153.0,9.0,158.0
6795252418098559150,random,187.0,6.0,187.0
6795252418098559150,extreme,141.0,1.0,160.0
6795252418098559150,greedy,183.0,1.0,183.0
6795252418098559150,random,179.0,4.0,179.0
6795252418098559150,extreme,156.0,1.0,161.0
6795252418098559150,greedy,174.0,9.0,174.0
524811595339828118,random,175.0,15.0,175.0
524811595339828118,extreme,183.0,2.0,183.0
524811595339828118,greedy,153.0,1.0,163.0
524811595339828118,random,173.0,15.0,173.0
524811595339828118,extreme,155.0,15.0,158.0
524811595339828118,greedy,167.0,14.0,167.0
524811595339828118,random,177.0,20.0,177.0
524811595339828118,extreme,171.0,20.0,171.0
524811595339828118,greedy,176.0,15.0,176.0
524811595339828118,random,210.0,1.0,210.0
524811595339828118,extreme,172.0,4.0,172.0
524811595339828118,greedy,167.0,13.0,167.0
524811595339828118,random,152.0,15.0,168.0
524811595339828118,extreme,172.0,22.0,172.0
524811595339828118,greedy,191.0,1.0,191.0
524811595339828118,random,147.0,13.0,162.0
524811595339828118,extreme,154.0,14.0,167.0
524811595339828118,greedy,149.0,1.0,164.0
524811595339828118,random,174.0,20.0,174.0
524811595339828118,extreme,151.0,15.0,166.0
524811595339828118,greedy,167.0,23.0,167.0
524811595339828118,random,177.0,1.0,181.0
524811595339828118,extreme,168.0,17.0,168.0
524811595339828118,greedy,174.0,15.0,174.0
524811595339828118,random,156.0,11.0,169.0
524811595339828118,extreme,197.0,2.0,197.0
524811595339828118,greedy,174.0,1.0,180.0
524811595339828118,random,166.0,1.0,170.0
524811595339828118,extreme,175.0,4.0,181.0
524811595339828118,greedy,165.0,1.0,175.0
2744496789902674430,random,197.0,13.0,197.0
2744496789902674430,extreme,195.0,13.0,195.0
2744496789902674430,greedy,214.0,1.0,214.0
2744496789902674430,random,203.0,13.0,203.0
2744496789902674430,extreme,194.0,1.0,194.0
2744496789902674430,greedy,197.0,1.0,209.0
2744496789902674430,random,185.0,10.0,185.0
2744496789902674430,extreme,212.0,2.0,212.0
2744496789902674430,greedy,194.0,1.0,194.0
2744496789902674430,random,173.0,4.0,191.0
2744496789902674430,extreme,182.0,3.0,196.0
2744496789902674430,greedy,193.0,2.0,193.0
2744496789902674430,random,210.0,10.0,210.0
2744496789902674430,extreme,198.0,1.0,198.0
2744496789902674430,greedy,204.0,1.0,204.0
2744496789902674430,random,192.0,4.0,192.0
2744496789902674430,extreme,200.0,2.0,200.0
2744496789902674430,greedy,193.0,2.0,193.0
2744496789902674430,random,200.0,2.0,200.0
2744496789902674430,extreme,202.0,13.0,202.0
2744496789902674430,greedy,197.0,2.0,197.0
2744496789902674430,random,189.0,3.0,189.0
2744496789902674430,extreme,217.0,2.0,217.0
2744496789902674430,greedy,220.0,1.0,220.0
2744496789902674430,random,189.0,2.0,213.0
2744496789902674430,extreme,215.0,2.0,215.0
2744496789902674430,greedy,210.0,1.0,210.0
2744496789902674430,random,208.0,17.0,208.0
2744496789902674430,extreme,186.0,1.0,186.0
2744496789902674430,greedy,167.0,3.0,196.0
16372601444478562637,random,169.0,1.0,193.0
16372601444478562637,extreme,184.0,1.0,198.0
16372601444478562637,greedy,186.0,11.0,186.0
16372601444478562637,random,167.0,5.0,181.0
16372601444478562637,extreme,176.0,1.0,192.0
16372601444478562637,greedy,205.0,1.0,205.0
16372601444478562637,random,207.0,10.0,207.0
16372601444478562637,extreme,195.0,18.0,195.0
16372601444478562637,greedy,182.0,14.0,182.0
16372601444478562637,random,192.0,9.0,192.0
16372601444478562637,extreme,171.0,10.0,179.0
16372601444478562637,greedy,154.0,1.0,196.0
16372601444478562637,random,208.0,10.0,208.0
16372601444478562637,extreme,171.0,1.0,201.0
16372601444478562637,greedy,220.0,1.0,220.0
16372601444478562637,random,189.0,2.0,189.0
16372601444478562637,extreme,174.0,1.0,197.0
16372601444478562637,greedy,194.0,3.0,194.0
16372601444478562637,random,198.0,10.0,198.0
16372601444478562637,extreme,194.0,13.0,194.0
16372601444478562637,greedy,206.0,2.0,206.0
