,type,is_practice,click_values,payoff_matrix,cost_matrix,weights,weights_deviation,trial_num,selected_option,gross_earnings,net_earnings,click_cost,uncovered_values,experiment_type,trial_nudge,nudge_index,chose_nudge,og_baskets,shown_baskets,num_features,cost,reaction_time,random_data,trial_type,trial_index,time_elapsed,internal_node_id,prolific_pid,study_id,session_id,nudge_type,participant_id
1668,mouselab,False,"[5, 5]","[[5, 7, 4, 4, 3, 4], [5, 4, 4, 6, 3, 6]]","[[2, 2, 2, 2, 2, 0], [2, 2, 2, 2, 2, 2]]","[13, 17]",4,5,2,0.04,0.04,0.0,[5],supersize,post-supersize,5,False,5,6,2,2,7591,True,implicit-mouselab,9,517976,0.0-3.0-6.0,5f050c222c19677febfe6579,5fcf99432612fd085464557d,5fcfadc008970c0f56935b39,supersize,54
4909,mouselab,False,"[0, 0, 3, 3, 1, 1, 4, 4, 2, 2, 5, 5]","[[4, 0, 6, 1, 7, 3], [8, 3, 4, 4, 7, 6]]","[[0, 0, 0, 0, 0, 0], [2, 2, 2, 2, 2, 2]]","[19, 11]",8,14,4,0.07,0.0666666666666666,0.0033333333333333,"[0, 3, 1, 4, 2, 5]",supersize,post-supersize,5,False,5,6,2,2,8272,True,implicit-mouselab,18,404510,0.0-3.0-15.0,5ed9f421b940fe5a87a22ea3,5fcf99432612fd085464557d,5fcfb328c803e31044ab9616,supersize,158
4922,mouselab,False,"[6, 6, 5, 5]","[[5, 4, 3, 3, 6, 5], [5, 1, 10, 7, 3, 8]]","[[2, 2, 2, 2, 2, 0], [0, 2, 2, 2, 2, 2]]","[10, 20]",10,27,0,0.05,0.0493333333333333,0.0006666666666666,"[6, 5]",supersize,post-supersize,5,False,5,6,2,2,4047,True,implicit-mouselab,31,545662,0.0-3.0-28.0,5ed9f421b940fe5a87a22ea3,5fcf99432612fd085464557d,5fcfb328c803e31044ab9616,supersize,158
6581,mouselab,False,"[0, 0, 4, 4, 3, 3, 1, 1, 2, 2, 5]","[[3, 6, 8, 5, 4, 3], [5, 9, 4, 8, 4, 6]]","[[0, 0, 0, 0, 0, 1], [2, 2, 2, 2, 2, 2]]","[17, 13]",4,22,2,0.063,0.0596666666666666,0.0033333333333333,"[0, 4, 3, 1, 2]",supersize,post-supersize,5,False,5,6,2,2,8862,True,implicit-mouselab,26,614077,0.0-3.0-23.0,5d348ae29ca0ce0019293919,5fcf99432612fd085464557d,5fcfb2349e9b190feb2f79bf,supersize,211
6699,mouselab,False,"[5, 5]","[[6, 5, 5, 8, 2, 4], [3, 3, 4, 5, 2, 6]]","[[2, 2, 2, 2, 2, 0], [2, 2, 2, 2, 2, 2]]","[17, 13]",4,12,2,0.046,0.046,0.0,[5],supersize,post-supersize,5,False,5,6,2,2,3543,True,implicit-mouselab,16,615426,0.0-3.0-13.0,5de7ca192294f172c699b7dc,5fcf99432612fd085464557d,5fcfb3258dd8611068edf63e,supersize,215
6706,mouselab,False,"[17, 17, 29, 29]","[[5, 5, 7, 5, 6, 3], [5, 5, 2, 5, 5, 7], [5, 7, 6, 6, 6, 4], [7, 5, 4, 9, 7, 0], [4, 1, 4, 7, 4, 6]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 0], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 0]]","[8, 12, 3, 3, 4]",16,19,2,0.042,0.042,0.0,"[17, 29]",supersize,post-supersize,5,False,5,6,5,2,3142,True,implicit-mouselab,23,708938,0.0-3.0-20.0,5de7ca192294f172c699b7dc,5fcf99432612fd085464557d,5fcfb3258dd8611068edf63e,supersize,215
6710,mouselab,False,"[29, 29]","[[4, 4, 6, 6, 8, 5], [7, 4, 5, 6, 5, 4], [4, 6, 5, 6, 7, 7], [6, 2, 6, 5, 7, 8], [7, 5, 5, 4, 3, 4]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 0]]","[3, 7, 5, 8, 7]",8,23,3,0.053,0.053,0.0,[29],supersize,post-supersize,5,False,5,6,5,2,2439,True,implicit-mouselab,27,755219,0.0-3.0-24.0,5de7ca192294f172c699b7dc,5fcf99432612fd085464557d,5fcfb3258dd8611068edf63e,supersize,215
7245,mouselab,False,"[11, 11]","[[4, 7, 7, 8, 5, 4], [7, 4, 6, 3, 2, 3]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 0]]","[17, 13]",4,14,0,0.053,0.053,0.0,[11],supersize,post-supersize,5,False,5,6,2,2,3156,True,implicit-mouselab,18,214801,0.0-3.0-15.0,5ba286e8821f7600011d09f2,5fcf99432612fd085464557d,5fcfb4b5f2f8f20f4171d1e3,supersize,233
7254,mouselab,False,"[11, 11, 11]","[[4, 3, 7, 4, 5, 5], [6, 8, 6, 6, 6, 5]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, -1]]","[27, 3]",24,23,1,0.035,0.035,0.0,[11],supersize,post-supersize,5,False,5,6,2,2,2631,True,implicit-mouselab,27,293345,0.0-3.0-24.0,5ba286e8821f7600011d09f2,5fcf99432612fd085464557d,5fcfb4b5f2f8f20f4171d1e3,supersize,233
7263,mouselab,False,"[11, 11]","[[6, 5, 4, 4, 6, 5], [6, 5, 6, 2, 4, 2]]","[[2, 2, 2, 2, 2, 2], [2, 2, 2, 2, 2, 0]]","[28, 2]",26,32,3,0.039,0.039,0.0,[11],supersize,post-supersize,5,False,5,6,2,2,3717,True,implicit-mouselab,36,365429,0.0-3.0-33.0,5ba286e8821f7600011d09f2,5fcf99432612fd085464557d,5fcfb4b5f2f8f20f4171d1e3,supersize,233
