n_gamble,n_outcome,cost,with,without
2,2,0.02,0.84155,0.827
4,2,0.02,0.750025,0.7163958333333333
6,2,0.02,0.709755,0.646281944444446
2,4,0.02,0.7675,0.724
4,4,0.02,0.688,0.5556625
6,4,0.02,0.6977658333333336,0.47169902777778205
2,6,0.02,0.755975,0.684125
4,6,0.02,0.7086729166666668,0.4851104166666666
6,6,0.02,0.7472758333333335,0.3855068402777816
2,2,0.04,0.83475,0.81225
4,2,0.04,0.7438416666666667,0.669
6,2,0.04,0.7348966666666666,0.588804166666668
2,4,0.04,0.77995,0.7163
4,4,0.04,0.7426583333333334,0.5165270833333333
6,4,0.04,0.8018350000000001,0.43575291666666843
2,6,0.04,0.75555,0.65345
4,6,0.04,0.7868458333333334,0.44427916666666667
6,6,0.04,0.8507175000000001,0.3540087152777792
2,2,0.06,0.8323,0.7979
4,2,0.06,0.7678916666666666,0.6484541666666666
6,2,0.06,0.7970583333333334,0.562252361111112
2,4,0.06,0.78105,0.69055
4,4,0.06,0.8089,0.5013583333333332
6,4,0.06,0.8648916666666668,0.3919779166666677
2,6,0.06,0.781475,0.646275
4,6,0.06,0.856975,0.4244020833333334
6,6,0.06,0.9197141666666666,0.3364025000000006
2,2,0.08,0.82785,0.7803
4,2,0.08,0.8050333333333334,0.6343041666666666
6,2,0.08,0.8426900000000002,0.5445919444444449
2,4,0.08,0.8021,0.6866625
4,4,0.08,0.86005,0.4630145833333334
6,4,0.08,0.915025,0.3804864236111115
2,6,0.08,0.81855,0.630025
4,6,0.08,0.9165833333333332,0.41799166666666676
6,6,0.08,0.9469200000000001,0.3100946527777782
2,2,0.1,0.82665,0.7754
4,2,0.1,0.82245,0.5924062499999999
6,2,0.1,0.8858833333333334,0.5024857638888892
2,4,0.1,0.82185,0.6723
4,4,0.1,0.896,0.4540583333333334
6,4,0.1,0.9323866666666667,0.3651865972222227
2,6,0.1,0.8603,0.63335
4,6,0.1,0.9446166666666667,0.3878041666666669
6,6,0.1,0.9720599999999998,0.3019969444444446
2,2,0.12,0.8382,0.76435
4,2,0.12,0.87325,0.5891437499999999
6,2,0.12,0.93076,0.48131416666666693
2,4,0.12,0.8511,0.6687
4,4,0.12,0.9306833333333332,0.4491375000000001
6,4,0.12,0.9664066666666667,0.35039916666666715
2,6,0.12,0.8963,0.62515
4,6,0.12,0.9639666666666666,0.39346458333333356
6,6,0.12,0.9850866666666664,0.29244625000000024
2,2,0.14,0.83985,0.74235
4,2,0.14,0.8923833333333334,0.5664333333333333
6,2,0.14,0.9770433333333335,0.4690501736111113
2,4,0.14,0.8762,0.66255
4,4,0.14,0.95245,0.43966458333333347
6,4,0.14,0.9816333333333334,0.32982916666666695
2,6,0.14,0.92135,0.6045
4,6,0.14,0.9735333333333333,0.38203333333333367
6,6,0.14,0.9923833333333334,0.27911333333333344
2,2,0.16,0.85735,0.7505
4,2,0.16,0.9233833333333334,0.5513604166666665
6,2,0.16,1.0,0.44840803819444464
2,4,0.16,0.9011,0.6468
4,4,0.16,0.9682,0.4340625000000002
6,4,0.16,0.99103,0.322170416666667
2,6,0.16,0.9457,0.6082
4,6,0.16,0.9888333333333333,0.37625833333333375
6,6,0.16,0.9967133333333333,0.2734850000000001
2,2,0.18,0.8699,0.733
4,2,0.18,0.9593833333333334,0.5442708333333333
6,2,0.18,1.0,0.4363339583333335
2,4,0.18,0.921,0.62825
4,4,0.18,0.98035,0.4242500000000003
6,4,0.18,0.9947833333333334,0.3104750000000002
2,6,0.18,0.9632,0.5943
4,6,0.18,0.9932833333333332,0.3580916666666671
6,6,0.18,0.9985,0.25200249999999996
2,2,0.2,0.8827,0.72245
4,2,0.2,0.9929833333333334,0.5423458333333332
6,2,0.2,1.0,0.418420416666667
2,4,0.2,0.9404,0.6293
4,4,0.2,0.9892833333333332,0.39796250000000044
6,4,0.2,0.9991333333333334,0.308556666666667
2,6,0.2,0.9709,0.5779
4,6,0.2,0.99755,0.3460833333333336
6,6,0.2,0.9992,0.23929416666666675
