n_gamble,n_outcome,cost,with,without
2,2,0.02,0.4969,0.4844
4,2,0.02,0.2670666666666667,0.25407916666666663
6,2,0.02,0.18096694444444467,0.16948597222222242
2,4,0.02,0.544975,0.51325
4,4,0.02,0.27548229166666666,0.24816666666666665
6,4,0.02,0.20146763888889074,0.17152347222222353
2,6,0.02,0.548675,0.504875
4,6,0.02,0.28718333333333335,0.2461875
6,6,0.02,0.21520361111111355,0.17083013888889056
2,2,0.04,0.52235,0.50215
4,2,0.04,0.2754625,0.2536958333333333
6,2,0.04,0.1951804166666669,0.17257875000000023
2,4,0.04,0.52695,0.48075
4,4,0.04,0.29258333333333336,0.24695
6,4,0.04,0.2192912500000009,0.169898194444445
2,6,0.04,0.563075,0.50205
4,6,0.04,0.3056520833333333,0.2444625
6,6,0.04,0.22805944444444545,0.1619750000000005
2,2,0.06,0.51435,0.49275
4,2,0.06,0.27007916666666665,0.24082916666666665
6,2,0.06,0.19685472222222233,0.16485611111111115
2,4,0.06,0.556475,0.50245
4,4,0.06,0.30014375,0.2431333333333333
6,4,0.06,0.2377047916666671,0.17304569444444465
2,6,0.06,0.568025,0.492875
4,6,0.06,0.3444125,0.257575
6,6,0.06,0.2622899305555561,0.17337986111111137
2,2,0.08,0.52465,0.4941
4,2,0.08,0.2878958333333333,0.2502916666666667
6,2,0.08,0.20231069444444455,0.1608609722222222
2,4,0.08,0.56895,0.50405
4,4,0.08,0.3284,0.2524125
6,4,0.08,0.2384663194444447,0.15927652777777784
2,6,0.08,0.5898,0.5066
4,6,0.08,0.3435354166666667,0.2442
6,6,0.08,0.2827613888888892,0.17242454861111114
2,2,0.1,0.53175,0.4984
4,2,0.1,0.31059999999999993,0.2652
6,2,0.1,0.22061958333333337,0.16945458333333333
2,4,0.1,0.57275,0.50195
4,4,0.1,0.3417208333333333,0.25483541666666665
6,4,0.1,0.26869069444444443,0.16698520833333322
2,6,0.1,0.5909,0.497225
4,6,0.1,0.3726895833333333,0.2581104166666667
6,6,0.1,0.2972763888888891,0.1644434722222222
2,2,0.12,0.5374,0.5009
4,2,0.12,0.29758229166666667,0.24658229166666665
6,2,0.12,0.23662666666666674,0.16651458333333333
2,4,0.12,0.5804,0.50565
4,4,0.12,0.3566041666666667,0.2548541666666667
6,4,0.12,0.28051611111111124,0.16120861111111107
2,6,0.12,0.60415,0.49735
4,6,0.12,0.383525,0.24295416666666664
6,6,0.12,0.31439000000000006,0.16099829861111103
2,2,0.14,0.5306,0.4881
4,2,0.14,0.30828333333333335,0.24818333333333334
6,2,0.14,0.233775,0.1612565277777776
2,4,0.14,0.58655,0.5039
4,4,0.14,0.3683375,0.2460625
6,4,0.14,0.29682354166666663,0.1625864583333332
2,6,0.14,0.61285,0.5017
4,6,0.14,0.4011333333333333,0.2482333333333333
6,6,0.14,0.3397879166666666,0.16596208333333323
2,2,0.16,0.54455,0.49825
4,2,0.16,0.3156791666666667,0.2469020833333333
6,2,0.16,0.2530225,0.16826166666666653
2,4,0.16,0.59405,0.499
4,4,0.16,0.38336666666666663,0.2578166666666667
6,4,0.16,0.30609833333333325,0.16259999999999986
2,6,0.16,0.6318,0.50305
4,6,0.16,0.43505,0.2452625
6,6,0.16,0.38863333333333333,0.17409666666666657
2,2,0.18,0.5518,0.5011
4,2,0.18,0.3249583333333333,0.246225
6,2,0.18,0.25188434027777773,0.16237086805555545
2,4,0.18,0.59355,0.4911
4,4,0.18,0.38405,0.2488333333333333
6,4,0.18,0.33016749999999995,0.16643333333333327
2,6,0.18,0.66505,0.49855
4,6,0.18,0.4993645833333332,0.2563958333333334
6,6,0.18,0.44361999999999996,0.17282500000000003
2,2,0.2,0.55215,0.4954
4,2,0.2,0.3243,0.2411166666666667
6,2,0.2,0.2651549999999999,0.16126999999999986
2,4,0.2,0.60525,0.4971
4,4,0.2,0.40842500000000004,0.25222083333333334
6,4,0.2,0.35901916666666667,0.16507805555555546
2,6,0.2,0.71275,0.49825
4,6,0.2,0.5652666666666665,0.2504
6,6,0.2,0.5166191666666665,0.15945750000000025
